"Category","Sub-Category","Term/Phrase","Translation/Meaning","Language","Region","Notes"
"Slang","General","Tof","Cool, great.","Flemish/Dutch","Flanders","Shared with the Netherlands, but very common."
"Slang","Food & Drink","Pintje","A small glass of beer.","Flemish/Dutch","Flanders",""
"Slang","General","Cinema veurniet","Getting a free, unexpected glimpse of nudity.","Flemish/Dutch","Antwerp","Lit. 'cinema for free'."
"Slang","Action","Fatsen","To play truant, skip school.","Flemish/Dutch","Antwerp",""
"Slang","Action","Foechelen","To cheat, to swindle, to do something sneakily.","Flemish/Dutch","Antwerp",""
"Slang","Action","Fikfakken","To fidget, to mess around playfully.","Flemish/Dutch","Antwerp",""
"Slang","Action","Prossen","To stuff oneself with food.","Flemish/Dutch","Antwerp",""
"Slang","Household","Blaaike","A roller shutter.","Flemish/Dutch","Antwerp",""
"Slang","General","Dem","Nothing.","Flemish/Dutch","Antwerp","e.g. 'Geen dem te zien' - 'Nothing to see'."
"Slang","General","Dier","Expensive.","Flemish/Dutch","Antwerp","Lit. 'dear'."
"Slang","General","Gelattig","Slippery / A sly person.","Flemish/Dutch","Antwerp",""
"Slang","General","Jorreke","A year.","Flemish/Dutch","Antwerp",""
"Slang","Food & Drink","Jarrebees","Strawberry.","Flemish/Dutch","Antwerp",""
"Slang","Drunk","Aangevezen","Drunk.","Flemish/Dutch","Antwerp",""
"Slang","Drunk","Strondzat","Shit-faced drunk.","Brusseleir","Brussels",""
"Slang","Drunk","Zat","Drunk.","Flemish/Dutch","Flanders",""
"Slang","Drunk","Zat als een Zwitser","Drunk as a Swiss person (very drunk).","Flemish/Dutch","Flanders",""
"Slang","Drunk","Prei zijn","To be drunk.","Flemish/Dutch","Flanders","Lit. 'to be leek'."
"Slang","Drunk","Een stuk in zijn voeten hebben","To be drunk.","Flemish/Dutch","Flanders","Lit. 'to have a piece in one's feet'."
"Slang","General","Valling","A cold (illness).","Flemish/Dutch","Flanders",""
"Slang","General","Valavond","Dusk.","Flemish/Dutch","Flanders","Lit. 'fall-evening'."
"Slang","General","Voormiddag","Morning (AM).","Flemish/Dutch","Flanders",""
"Slang","General","Namiddag","Afternoon (PM).","Flemish/Dutch","Flanders",""
"Slang","General","Moe","Tired.","Flemish/Dutch","Flanders",""
"Slang","General","Content","Content, happy, satisfied.","Flemish/Dutch","Flanders","From French."
"Slang","General","Goeiendag","Hello (Good day).","Flemish/Dutch","Flanders",""
"Slang","General","Kuren","To play around, to mess about.","Flemish/Dutch","Flanders",""
"Slang","General","Lastig","Difficult, annoying.","Flemish/Dutch","Flanders",""
"Slang","General","Proper","Clean, neat.","Flemish/Dutch","Flanders",""
"Slang","General","Gerief","Stuff, things, gear.","Flemish/Dutch","Flanders",""
"Slang","General","Mispeuteren","To misbehave, do something wrong.","Flemish/Dutch","Flanders",""
"Slang","General","Nief","New.","Flemish/Dutch","West Flanders","Dialectal pronunciation of 'nieuw'."
"Slang","General","Peperkoek","Gingerbread.","Flemish/Dutch","Flanders",""
"Slang","General","Schepen","Alderman, municipal councillor.","Flemish/Dutch","Flanders",""
"Slang","General","Traiteur","A caterer, a deli.","Both","Belgium",""
"Slang","General","Koter","To live in a student room (kot).","Both","Belgium",""
"Slang","General","Co-koter","A roommate in a student house.","Both","Belgium",""
"Slang","General","Babbeleer","A chatterbox.","Flemish/Dutch","Flanders",""
"Slang","General","Dikke","Fat (used as a familiar prefix, e.g., 'Dikke merci' - 'Big thanks').","Flemish/Dutch","Flanders",""
"Slang","General","Grave","Serious, but also 'cool' or 'intense'.","Flemish/Dutch","Flanders",""
"Slang","General","Leutig","Fun, amusing.","Flemish/Dutch","Flanders",""
"Slang","General","Patat","A potato.","Flemish/Dutch","Flanders",""
"Slang","General","Smos","A sandwich with lettuce, tomato, mayo, egg, and cucumber.","Flemish/Dutch","Flanders",""
"Slang","General","Valling","A head cold.","Flemish/Dutch","Flanders",""
"Slang","General","Wreed","Cruel, but also 'very' or 'extremely'.","Flemish/Dutch","Flanders","e.g., 'wreed content' - 'very happy'."
"Slang","General","Sakado","Backpack.","Flemish/Dutch","Flanders","From French 'sac à dos'."
"Slang","General","Camion","A truck.","Flemish/Dutch","Flanders","From French."
"Slang","General","Chauffage","Heating.","Flemish/Dutch","Flanders","From French."
"Slang","General","Cremerie","Ice cream parlor.","Flemish/Dutch","Flanders",""
"Slang","General","Solden","Sales (in shops).","Flemish/Dutch","Flanders","From French 'soldes'."
"Slang","General","Velo","Bicycle.","Flemish/Dutch","Flanders","From French 'vélo'."
"Slang","Food & Drink","Een druppel","A drop (of alcohol, usually jenever).","Flemish/Dutch","Flanders",""
"Slang","General","Kieken","A chicken / A fool.","Flemish/Dutch","Flanders",""
"Slang","General","Kameraad","Friend, mate.","Flemish/Dutch","Flanders",""
"Slang","General","Petotter","A potato.","Flemish/Dutch","West Flanders",""
"Slang","General","Stute","A slice of bread with butter, a sandwich.","Flemish/Dutch","West Flanders",""
"Slang","General","Tuupe","Together.","Flemish/Dutch","West Flanders","Dialect for 'samen'."
"Slang","General","Zurkel","Sorrel.","Flemish/Dutch","Flanders",""
"Slang","General","Preus","Proud.","Flemish/Dutch","West Flanders",""
"Slang","General","Sjiep","Cheap.","Flemish/Dutch","West Flanders","Pronunciation of 'cheap'."
"Slang","General","Nen","A/an (masculine indefinite article).","Flemish/Dutch","Flanders","Used more than in Netherlandic Dutch 'een'."
"Slang","General","Gans","Whole, entire.","Flemish/Dutch","Flanders",""
"Slang","General","Ientje","One (diminutive).","Flemish/Dutch","Flanders",""
"Slang","General","Weg zijn van","To be crazy about someone/something.","Flemish/Dutch","Flanders",""
"Slang","General","Dju","Damn.","Flemish/Dutch","Flanders",""
"Slang","General","Miljaar","Damn.","Flemish/Dutch","Flanders","Corruption of 'milliard'."
"Slang","General","Nondeju","Damn.","Flemish/Dutch","Flanders",""
"Slang","General","Potverdekke","Damn.","Flemish/Dutch","Flanders","Milder version of Godverdomme."
"Slang","General","Sapperloot","Gosh, darn it.","Flemish/Dutch","Flanders","Old-fashioned, mild curse."
"Slang","General","Godvermiljaardedju","A very strong curse word.","Flemish/Dutch","Flanders","A concatenation of curses."
"Slang","General","Wat een cinema","What a fuss / what a show.","Flemish/Dutch","Flanders",""
"Slang","General","Zenne","You know? (used for emphasis at end of sentence).","Flemish/Dutch","Antwerp","e.g., 'Da's goe, zenne!' - 'That's good, you know!'."
"Slang","General","Awel","Well... / So...","Flemish/Dutch","Flanders","A common conversation starter or filler word."
"Slang","General","Bon","Okay, well, right.","Both","Belgium","From French, used constantly in both languages."
"Slang","General","Ça va?","How are you? / Okay?","Both","Belgium","The most common greeting and check-in."
"Slang","General","Ça roule","It's going well / All good.","Belgian French","Belgium","Lit. 'it rolls'."
"Slang","General","Voilà","There you go, that's it.","Both","Belgium",""
"Slang","General","Enfin","Anyway, well, in short.","Both","Belgium",""
"Slang","General","Hein?","Huh? / Eh?","Both","Belgium",""
"Slang","General","Allez, salut hè","Okay, bye then.","Flemish/Dutch","Flanders",""
"Slang","General","Santé","Cheers!","Both","Belgium",""
"Slang","General","Merci","Thanks.","Both","Belgium",""
"Slang","General","Goeiemorgen","Good morning.","Flemish/Dutch","Flanders",""
"Slang","General","Goeienavond","Good evening.","Flemish/Dutch","Flanders",""
"Slang","General","Tot seffens","See you in a bit.","Flemish/Dutch","Flanders",""
"Slang","General","Tot straks","See you later.","Flemish/Dutch","Flanders",""
"Slang","General","Zievereir","Whiner, complainer.","Flemish/Dutch","Flanders","Similar to Brusseleir 'Zieverer' (bullshitter)."
"Slang","General","Iemand op zijn bakkes slaan","To punch someone in the face.","Flemish/Dutch","Flanders","'Bakkes' is slang for face/mouth."
"Slang","General","Ne schotel","A dish (satellite dish / a meal).","Flemish/Dutch","Flanders",""
"Slang","General","Koterij","A poorly built shed or extension.","Flemish/Dutch","Flanders",""
"Slang","General","Volle bak","Full house / very busy.","Flemish/Dutch","Flanders",""
"Slang","General","Sloeber","Rascal, scamp.","Flemish/Dutch","Flanders",""
"Slang","General","Dikke nek","Same as Dikkenek, arrogant person.","Flemish/Dutch","Flanders",""
"Slang","General","Garderobe","Cloakroom.","Flemish/Dutch","Flanders","From French."
"Slang","General","Gazet","Newspaper.","Flemish/Dutch","Flanders","From French."
"Slang","General","Koers","Bicycle race.","Flemish/Dutch","Flanders","A national obsession."
"Slang","General","Mecanicien","Mechanic.","Flemish/Dutch","Flanders","From French."
"Slang","General","Occasie","Second-hand.","Flemish/Dutch","Flanders","From French 'occasion'."
"Slang","General","Placard","Built-in cupboard.","Flemish/Dutch","Flanders","From French."
"Slang","General","Santeboutique","The whole lot, everything.","Flemish/Dutch","Flanders",""
"Slang","General","Troep","Junk, mess / troops.","Flemish/Dutch","Flanders",""
"Slang","General","Vaat","Washing up, dishes.","Flemish/Dutch","Flanders",""
"Slang","General","Chance","Luck.","Flemish/Dutch","Flanders","From French."
"Slang","General","Chapeau","Hats off, well done.","Flemish/Dutch","Flanders","From French."
"Slang","General","Jaloezie","Jealousy / blinds (window).","Flemish/Dutch","Flanders",""
"Slang","General","Miserie","Misery, trouble.","Flemish/Dutch","Flanders",""
"Slang","General","Permis","Driver's license.","Flemish/Dutch","Flanders","From French 'permis de conduire'."
"Slang","General","Plecht","Pledge.","Flemish/Dutch","West Flanders",""
"Slang","General","Reclame","Advertisement.","Flemish/Dutch","Flanders",""
"Slang","General","Remorque","A trailer.","Flemish/Dutch","Flanders","From French."
"Slang","General","Vitrine","Shop window.","Flemish/Dutch","Flanders","From French."
"Slang","General","Een boeltje","A mess.","Flemish/Dutch","Flanders",""
"Slang","General","Grave gast","A cool dude.","Flemish/Dutch","Flanders",""
"Slang","General","Kabberdoes","A dodgy pub.","Brusseleir","Brussels",""
"Slang","Food & Drink","Beeke","A small beer.","Brusseleir","Brussels",""
"Slang","Food & Drink","Halfke","A half-glass of beer.","Brusseleir","Brussels",""
"Slang","Food & Drink","Pizewiss","A light, low-alcohol beer.","Brusseleir","Brussels",""
"Slang","Food & Drink","Kwak","A glass of liqueur.","Brusseleir","Brussels",""
"Slang","Food & Drink","Schnik","Alcohol in general.","Brusseleir","Brussels",""
"Slang","Action","Zoeipe","To drink heavily, get drunk.","Brusseleir","Brussels",""
"Slang","Action","Boemele","To get drunk on a regular basis.","Brusseleir","Brussels",""
"Slang","Action","Teuttere","To enjoy drinking a good beer.","Brusseleir","Brussels",""
"Slang","Action","Tracteire","To buy a round of drinks.","Brusseleir","Brussels",""
"Slang","Drunk","Meeklapitte","A drunken woman.","Brusseleir","Brussels",""
"Slang","Drunk","Wallebak","A drunkard.","Brusseleir","Brussels",""
"Slang","Drunk","Druuge leiver","A drunkard.","Brusseleir","Brussels","Lit. 'dry liver'."
"Slang","Pub","Stameneie","A pub, a local bar.","Brusseleir","Brussels","From 'estaminet'."
"Slang","Action","Aan't postje zijn","To be in a relationship.","Flemish/Dutch","West Flanders","Lit. 'to be at the little post'."
"Slang","Action","Vrijen","To be in a relationship / to have sex.","Flemish/Dutch","Flanders","Meaning differs by region. West Flanders = relationship, elsewhere = sex."
"Slang","Food & Drink","Stoemp","Mashed potatoes with vegetables.","Both","Belgium",""
"Slang","Food & Drink","Waterzooi","A creamy stew of chicken or fish and vegetables.","Flemish/Dutch","Flanders",""
"Slang","Food & Drink","Kriek","Cherry beer.","Flemish/Dutch","Flanders",""
"Slang","Food & Drink","Gueuze","A type of sour lambic beer.","Flemish/Dutch","Flanders",""
"Slang","Food & Drink","Babelutte","A type of chewy toffee.","Flemish/Dutch","West Flanders",""
"Slang","Food & Drink","Cuberdon","A cone-shaped raspberry candy, also called 'neuzeke' (little nose).","Flemish/Dutch","Flanders",""
"Slang","General","Frot","A rub, a wipe.","Flemish/Dutch","Flanders",""
"Slang","General","Krabber","A scraper / a go-getter.","Flemish/Dutch","Flanders",""
"Slang","General","Neuspeuteren","To pick one's nose.","Flemish/Dutch","Flanders",""
"Slang","General","Oksel","Armpit.","Flemish/Dutch","Flanders",""
"Slang","General","Voos","Rotten, bad.","Flemish/Dutch","Flanders",""
"Slang","General","Kastaar","A strong man, a hunk.","Flemish/Dutch","Flanders",""
"Slang","General","Sjoeke","A term of endearment, darling.","Flemish/Dutch","Limburg",""
"Slang","General","Keirel","Guy, dude.","Flemish/Dutch","West Flanders","Pronunciation of 'kerel'."
"Slang","General","Wicht","Girl, woman (can be slightly pejorative).","Flemish/Dutch","Flanders",""
"Slang","General","Wijf","Woman, wife (can be very pejorative).","Flemish/Dutch","Flanders",""
"Slang","General","Blokken","To cram for an exam.","Flemish/Dutch","Flanders",""
"Slang","General","Kotmadam","The landlady of a student house.","Flemish/Dutch","Flanders",""
"Slang","General","Duimspijker","A thumbtack.","Flemish/Dutch","Flanders","Lit. 'thumb nail'."
"Slang","General","Bankcontact","Debit card payment system.","Both","Belgium","Genericized trademark."
"Slang","General","Klusjesman","A handyman.","Flemish/Dutch","Flanders",""
"Slang","General","Mijn frank valt","I get it now, the penny drops.","Flemish/Dutch","Flanders","Lit. 'my franc falls'."
"Slang","General","Plekker","A plasterer / a sticker.","Flemish/Dutch","Flanders",""
"Slang","General","Schieve","Crooked, askew.","Flemish/Dutch","Antwerp/West Flanders","e.g., 'ne schieve lavabo' - a crooked sink."
"Slang","General","Droog","Dry / boringly funny, witty.","Flemish/Dutch","Flanders",""
"Slang","General","Luizenleven","A life of ease.","Flemish/Dutch","Flanders","Lit. 'a lice life'."
"Slang","General","Muggenziften","To nitpick.","Flemish/Dutch","Flanders","Lit. 'to sift gnats'."
"Slang","General","Duur-de-comprenuur-zijn","To be slow on the uptake.","Flemish/Dutch","Antwerp","Lit. 'expensive of comprehension'."
"Slang","General","Doef","A thud, a dull sound / A hit.","Flemish/Dutch","Flanders",""
"Slang","General","Grapjas","A joker.","Flemish/Dutch","Flanders",""
"Slang","General","Kletskop","A chatterbox / bald head.","Flemish/Dutch","Flanders",""
"Slang","General","Kluns","A clumsy person.","Flemish/Dutch","Flanders",""
"Slang","General","Knack","Skill, know-how / A popular magazine.","Flemish/Dutch","Flanders",""
"Slang","General","Knokken","To fight, to brawl.","Flemish/Dutch","Flanders",""
"Slang","General","Knoeien","To make a mess, to spill.","Flemish/Dutch","Flanders",""
"Slang","General","Sjoemelen","To cheat (in a game).","Flemish/Dutch","Flanders",""
"Slang","General","Smossen","To make a mess while eating.","Flemish/Dutch","Flanders",""
"Slang","General","Stiel","A trade, a craft, a profession.","Flemish/Dutch","Flanders",""
"Slang","General","Toog","A bar, a counter.","Flemish/Dutch","Flanders",""
"Slang","General","Zever","Nonsense, drool.","Flemish/Dutch","Flanders",""
"Slang","General","Boekentas","A schoolbag, a book bag.","Flemish/Dutch","Flanders",""
"Slang","General","Duim","Thumb / Inch.","Flemish/Dutch","Flanders",""
"Slang","General","Fruitsap","Fruit juice.","Flemish/Dutch","Flanders",""
"Slang","General","Ijskast","Refrigerator.","Flemish/Dutch","Flanders","'Frigo' is more common, but this is also used."
"Slang","General","Melkboer","Milkman.","Flemish/Dutch","Flanders",""
"Slang","General","Onderlijfje","A vest, an undershirt.","Flemish/Dutch","Flanders",""
"Slang","General","Poep","Bottom, bum / Poop.","Flemish/Dutch","Flanders",""
"Slang","Action","Poepen","To have sex.","Flemish/Dutch","Flanders","In the Netherlands, this means 'to poop'."
"Slang","General","Schoonbroer","Brother-in-law.","Flemish/Dutch","Flanders",""
"Slang","General","Schoonzus","Sister-in-law.","Flemish/Dutch","Flanders",""
"Slang","General","Dropping","A hike where you are dropped in an unknown location.","Flemish/Dutch","Flanders",""
"Slang","General","Frou-frou","Bangs, fringe (hair).","Flemish/Dutch","Flanders","From French."
"Slang","General","Koter","To rummage, to poke around.","Flemish/Dutch","Flanders",""
"Slang","General","Ocharme","Oh, the poor thing.","Flemish/Dutch","Flanders",""
"Slang","General","Petatje","A potato.","Flemish/Dutch","West Flanders",""
"Slang","General","Toekomen","To arrive.","Flemish/Dutch","Flanders","'Aankomen' in Netherlandic Dutch."
"Slang","General","Verhuis","A move (of house).","Flemish/Dutch","Flanders","'Verhuizing' in Netherlandic Dutch."
"Slang","General","Valling","A cold.","Flemish/Dutch","Flanders","'Verkoudheid' in Netherlandic Dutch."
"Slang","General","Verpinken","To flinch, to bat an eyelid.","Flemish/Dutch","Flanders",""
"Slang","General","Voos","Spoiled, stale.","Flemish/Dutch","Flanders",""
"Slang","General","Zagevent","A whiner, a saw.","Flemish/Dutch","Flanders","From 'zagen' (to saw, to whine)."
"Slang","General","Blok","A city block / A period of studying.","Flemish/Dutch","Flanders",""
"Slang","General","Chiro","A popular youth movement in Flanders.","Flemish/Dutch","Flanders",""
"Slang","General","Collega","Colleague.","Flemish/Dutch","Flanders",""
"Slang","General","Cursus","A course manual, textbook.","Flemish/Dutch","Flanders",""
"Slang","General","Dokwerker","A docker, a longshoreman.","Flemish/Dutch","Antwerp",""
"Slang","General","Facteur","Postman.","Flemish/Dutch","Flanders","From French."
"Slang","General","Gendarme","Police officer (historical, but still used).","Flemish/Dutch","Flanders",""
"Slang","General","Gerant","Manager (of a shop).","Flemish/Dutch","Flanders","From French 'gérant'."
"Slang","General","Madam","Madam, Mrs. (used more formally/respectfully than in English).","Flemish/Dutch","Flanders",""
"Slang","General","Meneer","Sir, Mr.","Flemish/Dutch","Flanders",""
"Slang","General","Mutualiteit","Health insurance fund.","Flemish/Dutch","Flanders",""
"Slang","General","Patron","Boss, employer.","Flemish/Dutch","Flanders","From French."
"Slang","General","Regenjas","Raincoat.","Flemish/Dutch","Flanders",""
"Slang","General","Scouts","The Scouts youth movement.","Flemish/Dutch","Flanders",""
"Slang","General","Stage","An internship.","Flemish/Dutch","Flanders",""
"Slang","General","Vakbond","A trade union.","Flemish/Dutch","Flanders",""
"Slang","General","Ziekenkas","Health insurance fund.","Flemish/Dutch","Flanders",""
"Tongue Twisters","Phonetic Practice","De kat krabt de krullen van de trap","The cat scratches the curls off the stairs.","Flemish/Dutch","Flanders","Practices the 'kr' and 'tr' sounds."
"Tongue Twisters","Phonetic Practice","Liesje leerde Lotje lopen langs de lange Lindelaan","Liesje taught Lotje to walk along the long Lime tree lane.","Flemish/Dutch","Flanders","Practices the liquid 'l' sound."
"Tongue Twisters","Phonetic Practice","Scheveningse scheve schoenen","Crooked shoes from Scheveningen.","Flemish/Dutch","Netherlands/Flanders","Historically used to identify non-native Dutch speakers due to the 'sch' sound."
"Tongue Twisters","Phonetic Practice","Les chaussettes de l'archi-duchesse sont-elles sèches, archi-sèches?","Are the archduchess's socks dry, very dry?","French","Wallonia/France","Practices the 's' and 'ch' sounds."
"Tongue Twisters","Phonetic Practice","Un chasseur sachant chasser sait chasser sans son chien","A hunter who knows how to hunt knows how to hunt without his dog.","French","Wallonia/France","Also practices the 's' and 'ch' sounds."
"Tongue Twisters","Phonetic Practice","De knappe kapper knipt en kapt knap, maar de knecht van de knappe kapper knipt en kapt knapper dan de knappe kapper knipt en kapt","The handsome barber cuts neatly, but the handsome barber's apprentice cuts more neatly than the handsome barber cuts.","Flemish/Dutch","Flanders","Practices 'kn', 'k', and 'p' sounds."
"Tongue Twisters","Phonetic Practice","Als een potvis in een pispot pist, heb je een pispot vol potvispis","If a sperm whale pees in a chamber pot, you have a chamber pot full of sperm whale pee.","Flemish/Dutch","Flanders","A classic, slightly vulgar twister."
"Tongue Twisters","Phonetic Practice","Frans zei tegen Frans in het Frans dat Frans in het Frans François is.","Frans said to Frans in French that Frans in French is François.","Flemish/Dutch","Flanders","Plays on the name 'Frans' and the word for 'French'."
"Tongue Twisters","Phonetic Practice","Wij smachten naar achtentachtig prachtige nachten bij achtentachtig prachtige grachten","We yearn for 88 beautiful nights at 88 beautiful canals.","Flemish/Dutch","Flanders","Practices the guttural 'g'/'ch' sounds."
"Tongue Twisters","Phonetic Practice","Si mon tonton tond ton tonton, ton tonton sera tondu","If my uncle shaves your uncle, your uncle will be shaven.","French","Wallonia/France","Plays with 't' and 'on' sounds."
"Unique Concepts","Cultural Sensibility","Goesting","A deep, visceral craving or desire; a lust for something.","Flemish/Dutch","Flanders","Considered a quintessential Flemish word, signifying a profound appetite for life's pleasures."
"Unique Concepts","Cultural Rite of Passage","Kot","A student room or small apartment.","Both (from Flemish)","Belgium","A pan-Belgian term representing the shared student experience and first step into independence."
"Unique Concepts","Cultural Humor","Drache Nationale","The 'National Downpour'—the heavy rain on Belgium's National Day (July 21).","Belgian French","Belgium","A term that humorously captures a shared national experience of a rained-out holiday, fostering unity through collective complaint."
"Unique Concepts","Cultural Humor","Zwanze","A specific type of folk humor from Brussels characterized by sarcasm, exaggeration, and self-mockery.","Both","Brussels","More than just jokes, it's a shared spirit and way of navigating life."
"Unique Concepts","Cultural Identity","Zinneke","A mongrel dog / a person of mixed Brussels origin.","Brusseleir","Brussels","Symbolizes the melting-pot nature of Brussels. The Zinneke Parade is a major biennial event."
"Unique Concepts","Social Event","Guindaille","A student party, often involving large quantities of beer, singing, and traditional rituals.","Belgian French","Belgium","More than just a party, it's a specific type of student cultural event."
"Unique Concepts","National Identity","Compromis à la belge","A 'Belgian compromise', a complex, often convoluted agreement designed to satisfy all political (and linguistic) parties.","Both","Belgium","Reflects the country's political reality."
"Unique Concepts","Urban Planning","Verkavelingsvlaams","'Subdivision Flemish', a pejorative term for the perceived ugly, unplanned suburban sprawl in Flanders.","Flemish/Dutch","Flanders",""
"Unique Concepts","Social Activity","Bob","The designated driver on a night out.","Both","Belgium","Originates from a successful anti-drunk-driving campaign and is now a standard term."
"Unique Concepts","Cuisine","Bourgondisch","'Burgundian', a lifestyle of enjoying life with plenty of good food and drink.","Flemish/Dutch","Flanders","Often used to describe the Flemish approach to life."
"Unique Concepts","Political Structure","Faciliteitengemeente","A 'municipality with language facilities', where a minority language group has special rights.","Both","Belgium","A key feature of Belgium's complex linguistic-political landscape."
