ID,TERM,NOTES
1050,viejo,"The word ""viejo"" (old man) has multiple meanings and uses in Argentine Spanish, depending on context and added phrases.  It can be used as a term of endearment or address among friends ('father, mother' or as a form of address between friends, according to DIHA, and listed as Americanisms in DRAE). However, it also has several slang and informal uses:

* **Viejo y peludo:** (old and hairy) Used colloquially to encourage, approve, or cheer someone on.
* **Viejo choto:** (old goat) A vulgar and derogatory term for an older man, especially one suffering from impotence.
* **Viejo verde:** (green old man) A colloquial term for an older man who seeks romantic relationships with much younger women."
1054,vinacho,"Masculine colloquial term for ""wine"".  It can be used derisively or festively."
1055,viola,"Feminine noun. Lunfardo (Argentine slang) for ""guitar"", a stringed instrument.  ""Violero/a"" (masculine and feminine) is the slang term for ""guitarist""."
1057,violín,"The word ""violín"" has two slang meanings in Argentinan Spanish, depending on the context.  In colloquial and obsolete usage, it means ""degüello"" (the act of slaughtering/cutting a throat). In Lunfardo (Argentine slang), it means ""violet"". The entry notes that the expression ""violín en bolsa"" (violin in a bag) is referenced in both the DIHA and DRAE dictionaries, indicating its use in both countries of the Río de la Plata (Argentina and Uruguay)."
1068,vivir a expensas de alguien,"To live at someone else's expense, or to take advantage of a situation to the detriment of another person. This is a slang expression indicating parasitic behavior or exploiting a situation for personal gain at the cost of someone else."
1069,vizcachazo,"To err the vizcachazo.  (fr. coloq.) To make a mistake, to fail.  This slang term implies a missed opportunity or a failed attempt, likely referencing the hunting of vizcachas (a type of rodent). The colloquial nature is explicitly noted."
1071,volado,"Primarily, 'volado' refers to a frilled or gathered strip of fabric used as an ornament on clothing or curtains.  However, colloquially in Argentina and Uruguay, it is used as an adjective to describe a person under the influence of drugs.  The Spanish Royal Academy (DRAE) lists this colloquial usage, while the Dictionary of the Hispanic Heritage (DIHA) does not."
1072,volador,"Used as an adjective to describe a check that cannot be cashed because the account lacks sufficient funds.  The term literally translates to ""flyer"" or ""flying"", implying the check is 'flying' away from being cashed due to insufficient funds.  It's colloquial (coloq.) in nature."
1078,voleo,"A lunfardo (Argentine slang) term meaning a kick in the ass, generally in a figurative sense.  The entry notes that the Spanish Royal Academy (DRAE) lists it as a colloquialism in Uruguay, defining it as 'a punch or kick given to punish or intimidate'."
1086,vuelo,"The word ""vuelo"" in Argentinian Spanish slang has multiple meanings:

1. **Talent, aptitude:**  Refers to a person's skill or ability in a particular area.
2. **Importance:**  Signifies the significance or relevance of something.
3. **(colloquial) World, experience of life and social interaction:** This meaning refers to the breadth of one's life experiences and social encounters.
4. **(lunfardo) Effect of a psychoactive substance:**  This meaning is specific to lunfardo, the traditional slang of the working class in Buenos Aires, and describes the impact of a drug."
1087,vuelta,"The word ""vuelta"" in Argentinian Spanish has multiple meanings, beyond the basic translation of ""turn"" or ""round.""  It can refer to a specific time or occasion an action is performed, without implying a sequential order (""Esa vuelta me llamó muy temprano"" - That time he called me very early). It colloquially refers to a victory lap in sports (""vuelta olímpica""), and by extension, the winning of a championship itself (""Sólo te pido que demos la vuelta"" - I only ask that we win).  The phrase ""vuelta a vuelta"" means ""quite frequently.""  ""Vuelta carnero"" is a half-somersault.  ""Andar con vueltas"" or ""Andar en vueltas"" means to create difficulties to avoid doing something.  ""Buscarle la vuelta a algo"" or ""Encontrarle la vuelta a algo"" means to find a solution to a problem or to understand something previously incomprehensible.  ""No haber vuelta atrás"" means there's no possibility of revising something.  The entry notes discrepancies between the DRAE (Spanish Royal Academy Dictionary) and other dictionaries regarding specific usages and regional variations of these phrases, particularly noting Argentinian usage of ""vuelta olímpica"" (victory lap in a stadium) and ""vuelta al mundo"" (a type of fairground ride).  The term ""vueltero"" describes someone who wastes time in preparations or circumlocutions."
1095,wheelie,"The entry shows ""wheelie"" as a slang term, marked with ""lunf."" (lunfardo, Argentine slang) and ""SLANG"".  The provided translation is ""Willy"", suggesting it might be a slang term for a wheelie (a motorcycle stunt). The use of ""m."" indicates it's a masculine noun."
1096,whiscacho,"Lunfardo slang term for ""whisky"".  The 'm.' indicates masculine gender in Spanish."
1109,yeguo,"The entry defines 'yeguo' (masculine) as a slang term for a very attractive man.  The unusual spelling suggests a possible misspelling or a deliberate alteration of a known word. The meaning is clear, but the origin and precise usage within Argentinian Spanish slang requires further investigation."
1110,yeite,"Lunfardo slang term meaning: 1. Trick, skill, or ability acquired in the exercise of an art, trade, or profession. 2. Resource, especially a convenient one, that easily and frequently allows one to get by, or a skillful and original one. 3. Matter, subject at hand. 4. More or less hidden thing that defines the character of another, or of a person. 5. (Obsolete) Unclear task, sometimes very advantageous."
1111,yelo,"Slang term for ""hielo"" (ice), meaning solidified water."
1112,yerbatear,To drink mate.  The term is colloquial (coloq.) and indicates informal usage.  'Mate' refers to the traditional South American caffeinated beverage.
1118,yobaca,"Slang term for ""horse"" (caballo), a hoofed mammal."
1132,yuguiyo,Lunfardo slang term for the collar of a shirt.
1137,yuta,"Slang term meaning ""Watch out, the cops are coming.""  It's of Italian origin and is associated with lunfardo, the argot of Buenos Aires."
1142,zabeca,"Female noun, lunfardo (Argentine slang).  Means ""head of a person"". The DRAE (Diccionario de la Real Academia Española) lists it as a Uruguayan colloquialism with this meaning."
1143,zabiola,"Female form of 'sabiola', meaning 'head'.  The entry notes that while 'sabiola' is found in the DIHA (Diccionario de Hispanoamericanos) and DRAE (Diccionario de la Real Academia Española) dictionaries, marked as Uruguayan colloquialism, the use of the form starting with 'z' is widespread in Argentina."
1144,zácate,Interjection used colloquially to express surprise.
1145,zafar,"The verb 'zafar' has multiple meanings depending on the context and grammatical use.  As an intransitive verb, it means to successfully get out of a compromising situation or to prosper and make a fortune.  As a pronominal verb (used reflexively), it colloquially means to become shameless or insolent by speaking too freely and discourteously.  Different dictionaries offer slightly varying definitions. The DRAE (Spanish Royal Academy Dictionary) lists it as colloquial in Argentina, Cuba, and Uruguay, primarily meaning 'to disengage oneself from a commitment or obligation,' also including meanings such as 'to escape or hide to avoid an encounter or risk,' 'to excuse oneself from doing something,' and 'to get rid of an annoyance.' The DIHA (another Spanish dictionary) adds 'to disengage from responsibilities' and 'to overcome an obstacle without much effort'."
1148,zanahoria,"In Argentinian lunfardo (slang), ""zanahoria"" means ""stupid"", ""idiot"", or ""fool"".  The entry notes that the Spanish Royal Academy (DRAE) lists it as a Uruguayan colloquialism with a similar meaning: ""stupid, dull, and simple man""."
1150,aparecer en un zanjón,"The phrase ""aparecer en un zanjón"" literally translates to ""to appear in a ditch.""  In this slang context, it means to be murdered and the body disposed of in a ditch. The entry notes that it's colloquial (fr. coloq.) and implies a threat of murder."
1151,zapa,"Feminine colloquial term for a sneaker or trainer.  It refers to footwear generally made of synthetic leather or canvas with a rubber sole, fastened with laces or Velcro, suitable for some sports."
1153,zapallada,"Feminine noun, colloquial, used in Argentina.  It refers to an involuntary success, a stroke of luck, something achieved by chance."
1154,zapallazo,"A colloquial term meaning an involuntary success, a stroke of luck.  In the context of football (soccer), it refers to a shot on goal from a long distance, especially when unexpectedly successful. In basketball, it describes a long-range shot, particularly if it goes in. In boxing, it signifies an unorthodox and powerful blow, usually decisive."
1155,zapallo,"The word ""zapallo"" primarily refers to a type of squash or pumpkin. However, in Argentinian slang, it has multiple meanings:

* **Head of a person (lunfardo):**  A slang term for someone's head, particularly in the lunfardo dialect.
* **Unexpected stroke of luck (rural, obsolete):**  A less common meaning referring to a fortunate event due to chance.
* **Fool (colloquial, Argentina and Uruguay):**  Used to describe someone lacking intelligence or reason.
* **Goal (colloquial, Argentina and Uruguay):** In the context of football (soccer), it refers to a goal scored.
* **Unexpected success (colloquial, Chile and Uruguay):**  An unexpected achievement obtained by chance.

The entry notes that the DRAE (Spanish Royal Academy Dictionary) lists two meanings specific to South America, including the botanical meaning and the additional slang usages."
1158,zapatazo,"In football (soccer), a very strong shot, generally taken from far away from the goal.  Additionally, as an adjective ('zapatero'), it means 'relegated; last' in Lunfardo (Argentine slang). The DRAE (Spanish Royal Academy Dictionary) gives a colloquial meaning as 'player who is left without winning tricks or points'."
1160,zapie,"Feminine slang term for ""room"" or ""space"".  The entry indicates it's lunfardo (lunf. - lunfardismo), a type of Argentine slang originating in the working-class neighborhoods of Buenos Aires."
1161,zarpado,"The word ""zarpado"" in Argentinian Spanish (es-AR) is slang with multiple meanings depending on context. It can describe someone under the influence of drugs (""No les des bola, ¿no ves que están re zarpados?""), someone exceeding in a quality or characteristic (""Vos y tus amigos están zarpados de caretas""), someone bold, daring, or provocative (""Los chistes de Corona son re zarpados""), something very good or excellent (""'Samsung lanza el primer teléfono celular con cámara de 7 MP'. Un amigo lo tiene, zarpado celular, de buena calidad, excepcional""), or a shameless, disrespectful person (""Ubicate, loco, sos un zarpado"").  It can also be used as an adverb meaning ""very well"" or ""excellently"" (""Los v300 o v600 suenan zarpado""). The versatility and informal nature of ""zarpado"" highlight its status as a common slang term in Argentina."
1162,zarpar,"The verb ""zarpar"" in Argentinian lunfardo (slang) has multiple meanings, all implying exceeding limits or acting inappropriately.  It can mean: 1) To be audacious, commit an act of daring or disrespect (e.g., ""No te zarpés, chabón"" - Don't go too far, dude). 2) To exceed, go beyond what is expected or planned (e.g., ""Te zarpaste con los videos que trajiste"" - You went overboard with the videos you brought; ""Un buen monitor, pero que no se zarpe de caro"" - A good monitor, but not excessively expensive). 3) To lie or deceive (e.g., ""Show de lesbianismo y participaciones libres con las dos. ¡Ja, cómo me zarparon!"" - A lesbian show and free participation with the two. Ha, how they lied to me!). 4) To steal something that doesn't belong to you (e.g., ""Al final, el puto ese me zarpó diez mangos del vuelto"" - In the end, that guy stole ten pesos from my change). The examples illustrate its versatility and informal nature, often used with other slang terms like ""chabón"" (dude) and ""mangos"" (pesos)."
1166,zinguería,"A ""zinguería"" is a business where zinc and similar metals are sold, manufactured, and repaired. The provided example shows its use in a narrative, highlighting its colloquial nature within a specific cultural context (a family business).  The term itself isn't slang in the sense of being a recent invention or a secret code, but its usage in everyday conversation, as illustrated by the example sentence, marks it as regional slang."
1167,zocotroco,"A strong blow given with the hand.  A large thing. An amorphous thing.  The DRAE (Spanish Royal Academy Dictionary) lists ""socotroco"" as a Uruguayan colloquialism meaning 'large piece'. The form with 'z' is much less used than the form with 's'."
1170,zolcillonca,"Lunfardo slang term for ""calzoncillo"" (underpants).  The entry indicates it's masculine ('m.')"
1172,zucchini,"The word ""zucchini"" ([zuquini] in the provided slang), is used in Argentina as slang for calabacín (courgette), zapallito largo (long zucchini), or a small cylindrical squash with green skin and white flesh.  The entry indicates it's a slang term."
1175,INTRODUCCIÓN 28,"The entry indicates that ""INTRODUCCIÓN 28"" is an idiomatic expression or common phrase in Argentina.  The context suggests it's related to daily life ('VIDA COTIDIANA').  However, the meaning of ""INTRODUCCIÓN 28"" itself is not provided in the raw data.  Further information is needed to understand its specific meaning and usage."
1176,VIDA COTIDIANA,"This entry indicates that ""VIDA COTIDIANA"" itself is not a specific idiom or phrase, but rather a chapter heading or category label within a larger collection of Argentinian idioms.  The entry suggests that the chapter 'VIDA COTIDIANA' (Everyday Life) contains common idiomatic expressions or phrases used in Argentina."
1177,ABRIR EL PARAGUAS,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the idiom itself, only that it is common in Argentina and falls under the category of daily life."
1178,A CAPA Y ESPADA,Idiomatic expression or common phrase in Argentina.  The provided text indicates it falls under the 'Daily Life' chapter.
1179,A GRANEL,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1180,¡AL TUN TÚN!,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase's meaning or usage.
1181,AMO Y SEÑOR,Idiomatic expression or common phrase in Argentina.  The provided text indicates it's used in everyday life (VIDA COTIDIANA).  Further details on the specific meaning and usage are not available in the provided entry.
1182,ANDAR COMO BOLA SIN MANIJA,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  It literally translates to ""to go around like a ball without a handle.""  The meaning implies moving erratically, uncontrollably, or without direction."
1183,ANDAR DE CAPA CAÍDA,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).
1184,A ojo de buen cubero,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1185,Agarrar el sulky a patadas,"Idiomatic expression or common phrase in Argentina.  The literal translation would be something like ""to kick the sulky"".  The meaning and context are not provided in the raw entry, requiring further research to fully understand its usage and implications within Argentine daily life."
1186,A los ponchazos,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase itself.
1187,A CARA O CRUZ,"Idiomatic expression or common phrase in Argentina.  The phrase translates literally to ""heads or tails"", referring to the common coin flip game.  It implies a decision based on chance or a 50/50 proposition."
1188,¡ACÁ Y EN LA CHINA!,"Idiomatic expression or common phrase in Argentina.  The literal translation is ""Here and in China,"" but it implies something is happening everywhere or is very widespread.  It's used to emphasize the ubiquity of something."
1189,agarrarse una moto,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1190,¡A LA BARTOLA!,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only that it is common in Argentina and falls under the category of everyday life ('VIDA COTIDIANA')."
1191,¡A LA SAN FASÓN!,Idiomatic expression or common phrase in Argentina.  The provided text gives no further explanation of its meaning or usage.
1192,¡ANDÁ A CONTARLE A MAGOYA!,"Idiomatic expression or common phrase in Argentina.  The exact meaning isn't provided in the raw data, but the context suggests it's a dismissive or incredulous phrase, similar to ""Go tell that to someone who cares"" or ""Yeah, right."""
1193,APAGAR EL INCENDIO,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The literal translation is ""to put out the fire.""  It likely refers to resolving a difficult or tense situation quickly and effectively."
1194,"Aplauso, medalla y beso","Idiomatic expression or common phrase in Argentina.  The exact meaning isn't provided in the raw data, but the context suggests it's a phrase used in everyday life."
1195,APLICAR MAFIA,"Idiomatic expression or common phrase in Argentina.  The exact meaning isn't provided in the raw data, but the context suggests it relates to everyday life ('VIDA COTIDIANA').  Further research would be needed to determine the precise meaning and nuances of this idiom."
1196,"¡ARACA, LA CANA!",Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1197,"24. ARGENTINA, AÑO VERDE",Idiomatic expression or common phrase in Argentina.  The provided text gives no further explanation of the meaning of the phrase itself.
1198,Armar el circo,Idiomatic expression or common phrase in Argentina.  The provided text does not give a specific definition of the phrase's meaning.
1199,"¡ARROZ, ARROZ!","An idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of its meaning or usage, only stating it's common in daily life ('VIDA COTIDIANA')."
1200,ATAR CON ALAMBRE,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).
1201,¡A troche y moche!,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase's meaning.
1202,BAJAR LA CAÑA,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning is not provided in the raw data, requiring further research to determine the specific meaning and nuances of this idiom."
1203,BAJAR LA PERSIANA,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning isn't provided in the raw data, requiring further research to determine the specific meaning of ""bajar la persiana"" in Argentinian Spanish."
1204,BAJARSE LOS PANTALONES,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase's meaning.
1205,BORRACHO COMO UNA CUBA,"Idiomatic expression or common phrase in Argentina.  It literally translates to ""drunk as a Cuba,"" but the meaning is simply ""very drunk"". The phrase uses ""Cuba"" metaphorically, not literally referencing the island nation."
1206,BUQUE INSIGNIA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1207,CADA LOCO CON SU TEMA,"Idiomatic expression or common phrase in Argentina.  It translates roughly to ""Every person has their own thing."" or ""To each their own.""  It implies that everyone has their own interests, preferences, or quirks, and that it's okay to be different."
1208,CADA MAESTRITO CON SU LIBRITO,"Idiomatic expression or common phrase in Argentina.  The phrase translates literally to ""Each little master with his little book.""  It implies that everyone has their own methods, opinions, or ways of doing things.  It suggests that while there might be a standard way of doing something, individual approaches are acceptable or even expected."
1209,CAERSE LOS ANILLOS,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1210,CALAVERA NO CHILLA,"This is an idiomatic expression or common phrase in Argentina.  The literal translation is ""skull doesn't scream"". It's used in the context of everyday life and implies that those who are dead cannot speak or reveal secrets.  The meaning is similar to the English proverb ""the dead tell no tales""."
1211,CARGAR CON EL MUERTO,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning isn't provided in the raw data, requiring further research to define the idiom's meaning and usage within Argentinian culture."
1212,CARNE DE CAÑÓN,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The provided text does not give a definition of the idiom itself.
1213,Castillos en el aire,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  It literally translates to ""castles in the air"", implying unrealistic or impractical plans or dreams."
1214,CHAUCHA Y PALITOS,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase itself.
1215,CHOCAR LA FERRARI,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning isn't provided in the raw data, requiring further research to understand the idiom's full context and meaning within Argentinian culture."
1216,CHUPAR LAS MEDIAS,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase's meaning.
1217,COMO PIÑA,Idiomatic expression or common phrase in Argentina.  The provided text does not give the meaning of the idiom.
1218,CON CARPA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1219,CONFUNDIR JABÓN CON HILO NEGRO,"This is an idiomatic expression or common phrase in Argentina.  It literally translates to ""confuse soap with black thread.""  The meaning is not directly apparent from the literal translation and requires cultural understanding within the Argentinian context.  The provided text does not give the meaning of the idiom."
1220,CON GALERA Y BASTÓN,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1221,CON LAS BOTAS PUESTAS,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only stating it's common in Argentina and falls under the category of everyday life."
1222,CON LA SOGA AL CUELLO,"Idiomatic expression or common phrase in Argentina.  The literal translation is ""with the rope around the neck,"" implying a situation of extreme danger or urgency, being in a very difficult or precarious situation."
1223,CONSULTAR CON LA ALMOHADA,"Idiomatic expression or common phrase in Argentina.  The phrase literally translates to ""consult with the pillow."" It refers to the act of sleeping on a problem or issue to gain clarity or a solution after a period of rest and reflection."
1224,CONTAR LAS COSTILLAS,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the idiom itself.
1225,CORRER LA CONEJA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1226,CORTAR EL BACALAO,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1227,CORTAR EL ROSTRO,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1228,cotizar en bolsa,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning isn't provided in the raw data, but it implies a phrase related to daily life in Argentina and the stock market (bolsa)."
1229,CUIDAR LA QUINTITA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1230,CUELLO DE BOTELLA,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).
1231,DEL TIEMPO DEL ÑAUPA,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase itself.
1232,"De paso, cañazo",Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase itself.
1233,DESPERTARSE EL INDIO,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only that it is an idiom used in daily life."
1234,DONDE APRIETA EL ZAPATO,"Idiomatic expression or common phrase in Argentina.  It literally translates to ""where the shoe pinches.""  Figuratively, it means ""the crux of the matter"", ""the main problem"", or ""the sore point"".  The phrase is used to identify the core issue or the most pressing problem in a situation."
1235,DORMIR CON EL ENEMIGO,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the idiom's meaning.
1236,dormir la mona,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1237,ECHANDO PUTAS,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The exact meaning isn't provided in the raw data, but the context suggests it's likely a vulgar or informal expression."
1238,Echar una cana al aire,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The provided text does not give a definition of the idiom itself.
1239,EL QUE AVISA NO TRAICIONA,"This is an idiomatic expression or common phrase in Argentina.  It translates to ""He who warns does not betray.""  It implies that giving a warning or providing advance notice of something is not an act of betrayal, but rather a helpful or considerate action. The context suggests it's used in everyday life."
1240,EL QUID DE LA CUESTIÓN,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a definition of the phrase itself.
1241,EL TIEMPO ES TIRANO,"Idiomatic expression or common phrase in Argentina.  The phrase translates to ""Time is a tyrant."" It implies that time is relentless and unforgiving, often used to express the feeling of being pressed for time or the impact of time's passage."
1242,EL ÚLTIMO OREJÓN DEL TARRO,"Idiomatic expression or common phrase in Argentina.  The literal translation would be ""the last big-eared one of the jar.""  The meaning and cultural context are not provided in the raw data, requiring further research to fully explain its usage."
1243,EN LA COCHINCHINA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition or explanation of the phrase's meaning or cultural context.
1244,ENSALADA RUSA,"Common idiomatic expression or phrase in Argentina.  The provided text does not give a definition of the phrase itself, only its status as an idiom within Argentinian daily life."
1245,ENTRE ALGODONES,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only that it is an idiom used in daily life."
1246,ENTRE COMILLAS,Idiomatic expression or common phrase in Argentina.  The provided text indicates it's related to daily life ('VIDA COTIDIANA').  Further context is needed to define the precise meaning of the idiom.
1247,ERRAR EL VISCACHAZO,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1248,ESTAR AL HORNO,Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The provided text does not give a definition of the idiom itself.
1249,ESTAR AL PALO,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1250,estar a punto caramelo,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1251,ESTAR EN LA CORNISA,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only that it is an idiom used in daily life."
1252,ESTAR EN PAÑALES,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  The literal translation is ""to be in diapers,"" but it figuratively means to be in a very early or undeveloped stage.  It implies a lack of experience or maturity in a particular area."
1253,FALTO DE OLLA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1254,FILOSOFÍA DE BAR,"Idiomatic expression or common phrase in Argentina.  The provided text indicates it falls under the 'Daily Life' chapter, suggesting it relates to everyday conversations or situations."
1255,FRENAR EL CARRO,"Idiomatic expression or common phrase in Argentina.  The literal translation is ""to brake the car"", but it figuratively means to stop or slow down something,  likely referring to a situation or activity."
1256,"¡GUARDA, QUE VIENE EL GUARDA!","Idiomatic expression or common phrase in Argentina.  It translates literally to ""Watch out, the guard is coming!""  The phrase is used figuratively to warn someone that someone with authority or someone who might cause trouble is approaching."
1257,HABER MUCHA TELA PARA CORTAR,"Idiomatic expression or common phrase in Argentina.  The literal translation would be ""to have a lot of fabric to cut.""  It implies that there is a lot of material or information to work with, suggesting a complex or extensive situation."
1258,HABLAR POR TENER BOCA,"Idiomatic expression or common phrase in Argentina.  It literally translates to ""to speak because one has a mouth.""  It implies someone is talking excessively or unnecessarily, often without much substance to their words. The phrase highlights the act of speaking without thinking or having a valid reason."
1259,HACER BUENA LETRA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1260,HACER LA CAMA,"Idiomatic expression or common phrase in Argentina.  The phrase translates literally to ""to make the bed,"" and refers to the act of tidying one's bed."
1261,HACER LOBBY,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1262,HACER PATA ANCHA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1263,HACER PELO Y BARBA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1264,HACER PUCHEROS,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1265,hacerse un pícnic,"Idiomatic expression or common phrase in Argentina.  It literally translates to ""to make oneself a picnic,"" but idiomatically means to have a picnic."
1266,HACER UNA VACA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1267,HARINA DE OTRO COSTAL,Idiomatic expression or common phrase in Argentina.  The provided text does not offer a translation or explanation of the idiom's meaning.
1268,HAY AMORES QUE MATAN,"Idiomatic expression or common phrase in Argentina.  The phrase translates to ""There are loves that kill.""  It refers to the intensely passionate and potentially destructive nature of some romantic relationships. The context suggests it's used in everyday conversation (VIDA COTIDIANA)."
1269,HAY PARA HACER DULCE,"This is an idiomatic expression or common phrase in Argentina.  The literal translation is ""There is enough to make sweets.""  It implies that there is an abundance of something, often referring to a surplus of a particular ingredient or resource. The context suggests it's used in everyday life."
1270,HIPPI CON OSDE,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1271,IR A LAS CHAPAS,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1272,IR A LOS BIFES,Idiomatic expression or common phrase in Argentina.  The provided text does not give a direct translation or explanation of the meaning.  The chapter 'VIDA COTIDIANA' (Daily Life) suggests it's used in everyday conversation.
1273,LA BELLEZA VA POR DENTRO,"This is an idiomatic expression or common phrase in Argentina.  It translates to ""Beauty comes from within.""  The provided context indicates it's related to daily life (VIDA COTIDIANA)."
1274,LA FRUTILLA DEL POSTRE,"Idiomatic expression or common phrase in Argentina (Chapter: DAILY LIFE).  It literally translates to ""the strawberry of the dessert,"" but figuratively refers to something that is the best part, the final touch, or the perfect ending to a situation or event."
1275,LAS APARIENCIAS ENGAÑAN,"This is an idiomatic expression or common phrase in Argentina.  It translates to ""Appearances deceive"" or ""Don't judge a book by its cover"" in English.  The entry indicates it's used in everyday life (VIDA COTIDIANA)."
1276,LAS JOYAS DE LA ABUELA,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only stating its common usage in Argentina within the context of daily life ('VIDA COTIDIANA')."
1277,LA SOMBRA NEGRA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1278,LAVADO Y PLANCHADO,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only that it is an idiom used in daily life."
1279,LLORAR LA CARTA,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1280,LO PROMETIDO ES DEUDA,"A common idiomatic expression in Argentina meaning ""A promise is a debt.""  It emphasizes the importance of keeping one's promises.  The entry indicates it falls under the ""Daily Life"" chapter."
1281,LO QUE ABUNDA NO DAÑA,"This is an idiomatic expression or common phrase in Argentina.  It translates roughly to ""What is abundant does not harm.""  It implies that having an excess of something isn't necessarily a bad thing."
1282,MANDAR AL FRENTE,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1283,MANDAR FRUTA,"Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself, only stating its common usage in Argentina within the context of daily life."
1284,"¡METELE, QUE SON PASTELES!","Idiomatic expression or common phrase in Argentina.  The literal translation is ""Put it in, they're pastries!""  The meaning is not literal; it implies encouragement to go ahead and do something, often something risky or daring, suggesting that the potential consequences are not as serious as they might seem.  The phrase uses the playful image of pastries to downplay the risk."
1285,meter en la misma bolsa,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
1286,meter púa,Idiomatic expression or common phrase in Argentina.  The provided text does not give a definition of the phrase itself.
