
Term,Meaning,Category,Region,Example,Notes
Helodia,"A very cold beer.",Slang,General,"Serve me a bien helodia.","A play on words with 'helada' (cold)."
Hidalgo,"To drink a shot of alcohol in one go.",Slang,General,"He took the tequila shot de Hidalgo.","The name is used for a rhyme: 'Chingue a su madre el que deje algo'."
Híjole,"An expression of surprise, astonishment, or pity.",Slang,General,"¡Híjole! I think I left the keys inside.",""
Hocicón,"A big-mouthed person, someone who talks too much.",Insult,General,"Don't tell him any secrets, he's a hocicón.",""
Hominicaco,"An insignificant, pusillanimous man.",Insult,General,"That guy is a hominicaco.",""
Huach,"A derogatory term for people from central Mexico.",Slang,Yucatan,"That area is full of huaches.",""
Huerco / Huerca,"A boy, a girl.",Slang,Northern,"The huerco won't stop crying.",""
Hueva,"Laziness, sloth.",Slang,General,"What hueva, tomorrow is Monday.",""
Ira,"Look (imperative).",Slang,Western (Jalisco),"Ira, what a beautiful sunset.",""
Iris,"Anger, annoyance.",Slang,Gulf (Veracruz),"Don't make me iris.",""
Itacate,"Leftover food from a party that you take home.",Unique Concept,Central (Mexico City),"They saved me my itacate of mole.","From the Nahuatl 'itacatl'."
Jaina,"A girlfriend, a partner.",Slang,Slang (Caló),"I'm going to see my jaina.",""
Jale,"Work.",Slang,Northern,"I'm off to el jale.",""
Jarrito nuevo, ¿dónde te pondré?,"Said when showing a lot of enthusiasm for something new, which will likely be forgotten later.",Proverb,General,"",""
Jetearse,"To fall asleep.",Slang,General,"I jeteé in the cinema.",""
Jiribilla,"Restlessness, energy (in children).",Slang,Gulf (Veracruz),"That girl has a lot of jiribilla.",""
Jocho,"A hot dog.",Food,General,"Let's get some jochos after the movie.",""
Kikiri,"Of poor quality, cheap.",Slang,Gulf (Veracruz),"This product is kikiri.",""
Lacra,"A despicable person, a criminal.",Insult,Slang (Caló),"That neighborhood is full of lacras.",""
Lana,"Money.",Slang,General,"I can't afford it, I'm short on lana.",""
Lástima, Margarito,"A phrase to indicate that an opportunity has passed.",Colloquial Phrase,General,"I wanted to buy tickets but they're sold out. Lástima, Margarito.",""
Latir,"To like.",Slang,Central (Mexico City),"Me late that girl.",""
Le cargó el payaso,"Things went very badly for him/her, he/she failed, he/she died.",Colloquial Phrase,General,"He didn't study and le cargó el payaso on the exam.",""
Le chilla la ardilla,"To have smelly armpits.",Colloquial Phrase,General,"Put on deodorant, ya te chilla la ardilla.",""
Le falta un tornillo,"To be a bit crazy.",Colloquial Phrase,General,"That guy le falta un tornillo.",""
Le hizo lo que el viento a Juárez,"It had no effect whatsoever.",Colloquial Phrase,General,"The scoldings le hicieron lo que el viento a Juárez.",""
Le sacaron el mole,"To draw blood.",Colloquial Phrase,General,"He got into a fight and le sacaron el mole.",""
Le vale gorro,"He/she doesn't care.",Colloquial Phrase,General,"Le vale gorro what people think of him.",""
Licha,"A nosy person (variation of 'metiche').",Slang,Northern,"My neighbor is a real licha.",""
Lixto Calixto,"Ready.",Slang,Central (Mexico City),"Are you done? ¡Lixto Calixto!",""
Loch,"A hug.",Slang,Yucatan,"Give me a loch.",""
Locochón,"Crazy, eccentric, daring.",Slang,General,"Your idea is very locochona, but I like it.",""
Lonche,"Lunch.",Slang,Border,"What did you bring for lonche?","From the English 'lunch'."
Luca,"One thousand pesos.",Slang,Slang (Caló),"It cost me five lucas.",""
Macizo,"Strong, well-made, intense.",Slang,General,"Study macizo. / The blow was macizo.",""
Maje,"A fool.",Insult,Slang (Caló),"Don't be maje.",""
Malacopa,"A person who behaves badly when drunk.",Slang,General,"Don't invite Jorge, he's a malacopa.",""
Mal del puerco,"The sleepy, heavy feeling after a large meal.",Unique Concept,General,"After the taco feast, we all got the mal del puerco.",""
Malhora,"A bad person.",Insult,General,"That woman is a malhora.",""
Mamada,"Nonsense, something absurd; also something cool (rare).",Slang,General,"What he said is a mamada. / What a mamada of a car! (cool).","Vulgar."
Mamalón,"Something very large, impressive, or cool.",Slang,Northern,"He has a mamalona truck.",""
Mamey,"A very muscular person.",Slang,General,"He goes to the gym every day, he's very mamey.",""
Mamila,"An childish, immature, or whiny person.",Insult,General,"Stop crying, don't be a mamila.",""
Mamitis,"An excessive attachment to one's mother.",Unique Concept,General,"He's grown up but still has mamitis.",""
Mamón,"Pretentious, arrogant, a show-off.",Insult,General,"He's a mamón, always bragging about his money.",""
Mande,"What? Excuse me?",Slang,General,"Mande? I didn't hear you.","Considered a very respectful way to ask someone to repeat something."
Mano,"Friend, buddy (short for 'hermano').",Slang,General,"Órale, mi mano, how are you?",""
Mañoso,"Someone with bad intentions or habits; lecherous.",Slang,General,"That mechanic is mañoso, he always overcharges you.",""
Maricón / Puto,"Homophobic insults; also used to accuse someone of being a coward.",Insult,General,"","Very offensive terms."
Marmaja,"Money.",Slang,Slang (Caló),"That guy has a lot of marmaja.",""
Más vale pájaro en mano que cien volando,"A bird in the hand is worth two in the bush.",Proverb,General,"",""
Matanga dijo la changa,"An expression used when playfully taking something from someone.",Colloquial Phrase,General,"I got your chips, ¡matanga dijo la changa!",""
Mayate,"An active homosexual man.",Slang,Slang (Caló),"",""
Me agarraste en curva,"You caught me off guard.",Colloquial Phrase,General,"With that question, me agarraste en curva.",""
¡Me lleva la chingada!,"An expression of extreme frustration or anger.",Slang,General,"I lost my keys, ¡me lleva la chingada!",""
Me late,"I like it, I have a hunch.",Colloquial Phrase,Central (Mexico City),"Me late it's going to rain.",""
Me vale madre / Me vale verga,"I don't give a damn.",Colloquial Phrase,General,"","Very vulgar expressions of indifference."
Melolengo,"A fool, a dunce.",Insult,Western (Jalisco),"You're so melolengo.",""
Mentar la madre,"To insult someone's mother.",Colloquial Phrase,General,"He got angry and le mentó la madre.",""
Mero,"The very, the exact; the main one.",Slang,General,"I live in the mero center. / The mero mero of the company.",""
Merolico,"A street vendor or charlatan who talks a lot to sell things.",Slang,General,"The merolico at the market sells miracle products.",""
Metiche,"A nosy, gossipy person.",Slang,General,"Don't be a metiche, it's not your business.",""
Micha,"Half of a 'bolillo' type bread.",Food,Gulf (Veracruz),"A micha with beans.",""
Milanesa,"A person who cuts in line.",Slang,General,"Hey, don't be a milanesa, get in line.","A play on words with 'mil lugares' (a thousand places)."
Móchate,"Share, give me some.",Slang,General,"¡Móchate with the chips!",""
Mochilas,"Watch out!, Be careful!",Slang,General,"¡Mochilas, here comes the boss!",""
Molleja,"A wristwatch.",Slang,Slang (Caló),"Nice molleja.",""
Morro / Morra,"A boy / a girl; a boyfriend / a girlfriend.",Slang,Northern / General,"I saw that morra at the party.",""
Morralla,"Loose change, small coins.",Slang,General,"I only have morralla in my pocket.",""
Morusas,"Crumbs.",Slang,Western (Jalisco),"Clean the morusas off the table.",""
Muina,"Anger, rage.",Slang,Gulf (Veracruz),"He made me feel a muina you can't imagine.",""
Naco,"A person considered vulgar, in poor taste.",Insult,General,"His music is very naca.","A classist and pejorative term."
Nave,"A car.",Slang,General,"What a great nave you bought!",""
Nel / Nelson,"No.",Slang,General,"Can I borrow some money? Nel.",""
Neta,"Truth.",Slang,General,"Is what you're telling me neta?",""
Ni madre,"No way, not at all.",Colloquial Phrase,General,"Are you going to lend him money? ¡Ni madre!",""
Ni modillo,"No way (variation of 'ni modo').",Slang,Bajio,"The cake is gone, ni modillo.",""
Ni picha, ni cacha, ni deja batear,"A person who doesn't do anything useful nor lets others do it.",Colloquial Phrase,General,"The boss ni picha, ni cacha, ni deja batear.",""
Ni que fueran enchiladas,"Said when something is not as easy as it seems.",Colloquial Phrase,General,"You think you can finish it today? ¡Ni que fueran enchiladas!",""
Ni yendo a bailar a Chalma,"There's no way, it's impossible.",Colloquial Phrase,General,"That car won't start ni yendo a bailar a Chalma.","Chalma is a famous sanctuary where people go to ask for miracles."
No hay bronca / No hay pedo,"No problem.",Colloquial Phrase,General,"Don't worry, no hay bronca.","'No hay pedo' is more vulgar."
No hay de queso, nomás de papa,"A playful way of saying 'you're welcome'.",Colloquial Phrase,General,"Thanks for your help. -No hay de queso, nomás de papa.",""
No le busques tres pies al gato,"Don't look for trouble where there is none.",Proverb,General,"Leave things as they are, no le busques tres pies al gato.",""
No manches,"No way!, You're kidding!",Slang,General,"¡No manches, I won the lottery!","A milder version of 'no mames'."
No te rajes,"Don't back down, keep your word.",Colloquial Phrase,General,"You promised to help, no te rajes now.",""
Ñoño,"A nerd, a studious and unsociable person.",Slang,General,"He's the ñoño of the class.","Popularized by the character from 'El Chavo del Ocho'."
Ocupar,"To need.",Slang,Western (Jalisco),"Ocupo you to help me with this.","In the rest of Mexico, 'necesitar' is used."
Órale,"An expression of surprise; to encourage or agree to something; let's go!",Slang,General,"¡Órale, how fast! / ¡Órale, hurry up! / Shall we go? ¡Órale!",""
Oso,"Embarrassment, an embarrassing situation.",Unique Concept,General,"What an oso, I fell in front of everyone.",""
Pablito clavó un clavito...,,,Tongue Twister,General,"",""
Pachi,"Friend, buddy.",Slang,Gulf (Veracruz),"What's up, pachi?",""
Pachanga,"A party.",Slang,General,"There's a pachanga at my house this weekend.",""
Pachorrudo,"Slow, someone who does things very calmly.",Slang,General,"Hurry up, don't be so pachorrudo.",""
Padre / Padrísimo,"Cool, excellent, very good.",Slang,General,"The party was padrísima.",""
Pájaro nalgón,"A high-ranking person, a 'big shot'.",Slang,General,"The CEO is a pájaro nalgón.",""
Pan comido,"A piece of cake, something very easy to do.",Colloquial Phrase,General,"The exam was pan comido.",""
Panocha,"Piloncillo (unrefined cane sugar cone).",Food,Western (Jalisco),"","In other regions, it's a vulgar word for female genitalia."
Panza,"Stomach, belly.",Slang,General,"My panza hurts.",""
Paracaídas,"A person who shows up to a party uninvited.",Slang,General,"The party was full of paracaídas.",""
Parquear,"To park a vehicle.",Slang,Border,"I'm going to parquear the truck.","From the English 'to park'."
Partir la madre,"To beat someone up.",Colloquial Phrase,General,"They le partieron la madre for being a snitch.",""
Pasado de lanza,"Someone who abuses or goes too far.",Slang,General,"You ate the whole pizza, you're pasado de lanza.",""
Peda,"A party with a lot of alcohol; drunkenness.",Slang,General,"He was bien pedo yesterday. / Let's organize a peda.",""
Pedo,"A problem; a matter; drunk.",Slang,General,"What's your pedo? / What's the pedo about? / I'm bien pedo.","A very versatile and vulgar word."
Pelaná,"A very strong and vulgar insult.",Insult,Yucatan,"","From Mayan, it literally means 'your mother's vagina'."
Pelar,"To leave, to go away.",Slang,Slang (Caló),"Ya me pelo, see you tomorrow.",""
Pelón,"Difficult, complicated.",Slang,General,"The matter is pelón.",""
Pendejo,"A fool, an idiot.",Insult,General,"Don't be a pendejo, watch where you're going.","A common and strong insult."
Pepe Pecas pica papas...,,,Tongue Twister,General,"",""
Perra,"A promiscuous woman (insult); very difficult.",Insult,General,"That woman is a perra. / The hangover is perra.",""
Perrear,"To dance reggaeton in a sensual way.",Slang,General,"They spent the whole night perreando.",""
Perrón,"Cool, awesome, very good.",Slang,General / Northern,"Your car is so perro!","Similar to 'chingón' or 'fregón'."
Pesero,"A public transport bus or minibus.",Slang,Central (Mexico City),"I take the pesero to go to work.","Originally, they cost one peso."
Petatearse,"To die.",Slang,General,"Grandpa se petateó last year.","From 'petate', a palm mat where the dead were often laid out."
Pichar,"To treat someone to something, to pay someone's bill.",Slang,General / Northern,"I'll picho the beers today.",""
Pichicato,"Stingy, someone who gives little.",Slang,Gulf (Veracruz),"The boss is very pichicato with raises.",""
Pinche,"A derogatory adjective that intensifies a noun.",Insult,General,"This pinche traffic won't let me move.","Equivalent to 'fucking' or 'damn'."
Piocha,"Excellent, top-notch.",Slang,General,"The concert was de piocha.",""
Pipirisnais,"Elegant, snobbish, preppy.",Slang,General,"He arrived at the meeting very pipirisnais.","A somewhat outdated and humorous term."
Pisto,"An alcoholic beverage.",Slang,Northern,"Let's buy the pisto for the barbecue.",""
Plebe,"A group of friends, young people.",Slang,Northern (Sinaloa),"I'm going out with la plebe.",""
Poch,"A strong craving.",Slang,Yucatan,"I have a poch for a marquesita.",""
Poner gorro,"To annoy, to bother.",Colloquial Phrase,Northern,"Stop poner gorro and get to work.",""
Ponerse hasta las chanclas,"To get very drunk.",Colloquial Phrase,General,"At the wedding, he se puso hasta las chanclas.",""
Ponerse la del Puebla,"To split a cost in half between two people.",Colloquial Phrase,General,"Ponte la del Puebla with the bill.","Alludes to the sash across the Puebla soccer team's jersey."
Ponerse trucha,"To be alert, on the lookout.",Colloquial Phrase,General,"Ponte trucha with your things, don't let them get stolen.",""
Popote,"A drinking straw.",Slang,General,"Ask for your soda without a popote.","From the Nahuatl 'popotl'."
Precopeo,"To pre-drink, to have drinks before going to the main party.",Unique Concept,General,"We'll precopeo at my house and then go to the club.",""
Pri,"Friend, buddy (short for 'primo').",Slang,Bajio,"What's up, pri?",""
Puñal,"A homosexual man (derogatory); a traitor.",Insult,General,"He betrayed me, he's a puñal.",""
Puñetas,"An idiot, a fool.",Insult,Northern,"Don't be a puñetas!",""
Puro chuqui,"Very good, high quality.",Slang,Northern (Sonora),"These tacos are puro chuqui.",""
¿Qué hongo?,"What's up? (playful variation of 'qué onda').",Greeting,General,"¿Qué hongo, champiñón?",""
¿Qué le dice una pared a otra pared? "Nos vemos en la esquina.",,,Joke,General,"",""
¿Qué pasión?,"What's up?, How's it going?.",Greeting,Central (Mexico City),"¿Qué pasión, my people?",""
¿Qué pedo?,"What's up?; What's the problem?; How are you?.",Slang,General,"¿Qué pedo with your attitude? / ¿Qué pedo, wey?","A very versatile and vulgar word."
¿Qué transita por tus venas?,"What's up? (elaborate variation).",Greeting,General,"",""
¿Qué Pachuca por Toluca?,"What's up? (a play on words).",Greeting,General,"",""
¿Qué onda?,"What's up?, How are you?.",Greeting,General,"¿Qué onda, how have you been?",""
Que te valga,"It's none of your business.",Colloquial Phrase,General,"It's my problem, que te valga.",""
Quedarse de a seis,"To be very surprised or astonished.",Colloquial Phrase,General,"I was quedé de a seis when they told me the news.",""
Quemacocos,"A car's sunroof.",Slang,General,"Open the quemacocos to let some air in.",""
Quemon,"An embarrassing situation.",Slang,General,"What a quemón I went through when I fell!",""
Quihubo / Quihúbole,"What's up? (informal greeting).",Greeting,General,"¡Quihúbole! How are you?",""
Quinceañera,"The celebration party for a girl's 15th birthday.",Unique Concept,General,"My cousin is having her quinceañera party.",""
Quiquiriquí,"Cock-a-doodle-doo.",Onomatopoeia,General,"",""
Quitar,"To leave, to go away.",Slang,Yucatan,"Ya me quito.",""
Raite,"A ride in someone's vehicle.",Slang,Northern / Border,"Can you give me a raite home?","From the English 'ride'."
Rancho,"A prison.",Slang,Slang (Caló),"They sent him to the rancho.",""
Ratero,"A thief.",Slang,General,"A ratero stole my wallet.",""
Refine,"Food.",Slang,Slang (Caló),"Let's go get some refine.",""
Rela,"Short for 'relajo', a mess or disorder.",Slang,General,"They made a rela in the house.",""
Reventón,"A big, lively party.",Slang,General,"There's a reventón on Saturday.",""
Rifado,"Skillful, brave, excellent.",Slang,General,"You were rifado with the food, it was delicious!",""
Rifarse por la banda,"To make a sacrifice or a great effort for friends.",Colloquial Phrase,General,"He se rifó por la banda and paid the whole bill.",""
Rola,"A song.",Slang,General,"Put on a rock rola.",""
Rollo,"A problem, a complicated matter; or a long speech.",Slang,General,"I have a rollo with my girlfriend. / The director gave a one-hour rollo.",""
Ruco / Ruca,"An old man, an old person (can be derogatory).",Slang,General,"That ruco drives very slowly.",""
Sacarle la sopa,"To make someone confess or tell something.",Colloquial Phrase,General,"I le saqué la sopa and he told me who it was.",""
Sacatón,"A coward.",Slang,General,"Don't be a sacatón and jump off the diving board.",""
Sale,"Okay, deal.",Slang,General,"See you at 5. ¡Sale!",""
Sangrón,"An arrogant, unpleasant person.",Insult,General,"The new boss is very sangrón.",""
Sarra,"Mother.",Slang,Slang (Caló),"I'm going to see my sarra.",""
Se comió la torta antes del recreo,"To get pregnant before marriage.",Colloquial Phrase,General,"","Euphemism."
Se le botó la canica,"He/she went crazy.",Colloquial Phrase,General,"Suddenly he started shouting, se le botó la canica.",""
Según el sapo la pedrada,"The action or punishment should be proportional to the fault or situation.",Proverb,General,"",""
Sepa la bola,"Nobody knows, who knows.",Colloquial Phrase,General,"Who broke the glass? Sepa la bola.","A phrase with origins in the Mexican Revolution."
Sho,"Be quiet.",Slang,Yucatan,"¡Sho, kid, stop making noise!",""
Simón,"Yes.",Slang,General,"Do you want to go? Simón.",""
Sóbate,"Suck it up (an expression of mockery).",Slang,General,"Your team lost, ¡sóbate!",""
Sope,"A fool, a dunce.",Insult,General,"You're a sope, they tricked you again.",""
Sordearse,"To ignore someone, to play dumb.",Slang,Northern,"I'm talking to him but he's sordeando.",""
Suave,"Cool, nice.",Slang,General,"How suave that you came.",""
Tacuche,"A man's suit.",Slang,Slang (Caló),"He wore his best tacuche to the wedding.",""
Tambo,"Jail.",Slang,General / Slang (Caló),"They threw him in the tambo for stealing.",""
Tanda,"An informal group savings system; a round of drinks.",Unique Concept,General,"I'm in a tanda to buy a TV. / Let the tanda continue!",""
Tanques,"Shoes.",Slang,Slang (Caló),"Shine my tanques.",""
Tatemar,"To roast or toast directly over a flame; head.",Slang,General / Slang (Caló),"You have to tatemar the chiles. / My tatema hurts.",""
Te chilla la ardilla,"To have smelly armpits.",Colloquial Phrase,General,"","See 'Le chilla la ardilla'."
Te crees muy acá,"To think you're superior or very important.",Colloquial Phrase,General,"Why don't you say hello? ¿Te crees muy acá?",""
Te pasas de lanza,"You go too far, you abuse.",Colloquial Phrase,General,"You arrived three hours late, te pasas de lanza.",""
Teporocho,"An alcoholic, a homeless person.",Slang,Central (Mexico City),"There are many teporochos in that square.",""
Teto,"A fool, a dunce.",Insult,General,"You're so teto.",""
Tinaco,"Head.",Slang,General,"Use your tinaco, think before you act.","A play on words with 'tatema'."
Tirar carro,"To make fun of someone.",Colloquial Phrase,Northern,"My friends tiran carro about my soccer team.",""
Tirar la hueva,"To laze around, to do nothing.",Colloquial Phrase,General,"I'm going to tirar la hueva all weekend.",""
Tirar paro,"To do a favor.",Colloquial Phrase,General,"Tírame paro with the homework.",""
Tirar rollo,"To talk a lot to convince or woo someone.",Colloquial Phrase,General,"He le tiró un rollo to get her to go out with him.",""
Tocayo,"A person who has the same name as you.",Unique Concept,General,"My boss and I are tocayos, we're both named Carlos.",""
Todavía aguanta un piano,"Said of something that, although old or damaged, can still be used.",Colloquial Phrase,Central (Mexico City),"",""
Torta,"A sandwich made with a 'bolillo' or 'telera' type of bread.",Food,General,"I'm going to have a ham torta.",""
Totopo,"A fried or baked corn tortilla triangle (nacho chip).",Food,General,"Let's have guacamole with totopos.",""
Trácala,"A deceitful, scamming person.",Insult,General,"That salesman is a trácala.",""
Tranza,"A scam, a deceit, an illicit deal.",Slang,Slang (Caló),"That deal was a tranza.",""
Tres tristes tigres...,,,Tongue Twister,General,"",""
Troca,"A pickup truck.",Slang,Northern / Border,"He loaded everything into the troca.","From the English 'truck'."
Un chingo,"A lot, a huge amount.",Slang,General,"I have un chingo of homework.",""
Un ojo al gato y otro al garabato,"To keep an eye on two things at once.",Colloquial Phrase,General,"I have to watch the kid and the food, un ojo al gato y otro al garabato.",""
Uixar,"To urinate.",Slang,Yucatan,"","From Mayan 'wiix'."
Valedor,"A friend, a buddy.",Slang,General,"He's my valedor from the neighborhood.",""
Valer madre / Valer verga,"To not matter at all; to be ruined.",Colloquial Phrase,General,"I don't give a damn about your opinion. / The plan valió verga.",""
Vaquita,"A money pool for a common purpose, usually to buy alcohol.",Unique Concept,General,"Let's do a vaquita for more beers.",""
Varo,"Money, a peso.",Slang,General,"Lend me a hundred varos, will you?",""
Verga,"Penis; also used in multiple expressions.",Insult,General,"Me vale verga. / ¡A la verga! / Eres la verga.","An extremely vulgar and versatile word."
Víbora,"A belt.",Slang,Slang (Caló),"He took off his víbora to hit him.",""
Vieja,"Wife, girlfriend, woman.",Slang,General,"I'm going out with my vieja.",""
Viejo,"Husband, boyfriend, man.",Slang,General,"My viejo is at work.",""
Vientos / Vientos huracanados,"Great!, Excellent!.",Slang,Central (Mexico City),"I passed the exam. - ¡Vientos!",""
Volado,"A coin toss to decide something.",Unique Concept,General,"Let's flip a volado to see who pays.",""
Wachar,"To watch, to look at.",Slang,Northern / Border,"Wacha that car, it's incredible.","From the English 'to watch'."
Xix,"Leftovers or remains of food or drink.",Slang,Yucatan,"Leave the xix of your soda on the table.","From Mayan 'xíix'."
Ya chole,"That's enough, stop it.",Slang,General,"Ya chole with the same topic, let's talk about something else.",""
Ya colgó los tenis,"He/she died.",Colloquial Phrase,General,"Grandpa ya colgó los tenis.",""
Ya ni la amuelas,"You're too much; an expression of exasperation.",Colloquial Phrase,General,"You broke another plate, ¡ya ni la amuelas!",""
Ya nos cayó el chahuistle,"We've been caught; we're in trouble.",Colloquial Phrase,General,"Hide, ya nos cayó el chahuistle.","'Chahuistle' is a corn fungus of Nahuatl origin."
Ya valió,"It's over, it failed.",Colloquial Phrase,General,"We got a flat tire in the middle of nowhere, ya valió.",""
Yuki,"Shaved ice with syrup.",Food,Northern (Sinaloa),"It's so hot, I'm craving a strawberry yuki.",""
Zacatearle,"To avoid or be afraid of doing something, to chicken out.",Slang,General,"He le zacateó to the fight.",""
Zas,"An expression to indicate something happening suddenly or as an affirmation.",Slang,General,"I was distracted and, ¡zas!, I fell.",""
Zopilotear,"To vomit, especially from drunkenness.",Slang,General,"He drank so much he ended up zopiloteando in the bathroom.",""
Zorimbo,"A fool, an idiot.",Insult,General,"",""
"Maestra, ¿me pueden castigar por algo que no he hecho?". "¡Claro que no, Pepito!". "Qué bueno, porque no hice la tarea.",Joke,Pepito,"",""
El profesor: "Pepito, ¿cómo suena la M con la A?". Pepito: "Ma". Profesor: "Y si le pones una tilde, ¿cómo suena?". Pepito: "Matilde".,Joke,Pepito,"",""
Un policía ve a un borracho dándose un cabezazo contra un poste y le pregunta cuántos chipotes tiene. El borracho responde: "Ocho". El policía se sorprende y el borracho aclara: "¡Grashias! Ya namás me faltan otrosh cuatro poshtesh pa' llegar a mi casa".,Joke,Drunkard,"",""
¿Cómo se despiden los químicos? "Ácido un placer".,Joke,Short,"",""
