"Term_Phrase_Item","Category","Definition_Origin_Example","Tags"
"Stalkear","YOUTH_SLANG (Youth Slang)","To check someone's social media profiles extensively, often without their knowledge. Origin: English loanword (""to stalk""), adapted to Spanish verb. Example: ""Estuve stalkeando a mi ex en Instagram."" (I was stalking my ex on Instagram.)","Slang Terms, Youth Slang, english loanword, internet culture"
"Tincho","YOUTH_SLANG (Youth Slang)","(Pejorative stereotype) A stereotypical superficial, wealthy young man, often into rugby, gyms, and showing off. Counterpart to ""milipili."" (Diminutive of Martín). Example: ""Ese bar está lleno de tinchos."" (That bar is full of ""tinchos."")","Slang Terms, Youth Slang, pejorative, stereotype"
"Wacho/a","YOUTH_SLANG (Youth Slang)","Dude, guy/girl (can be affectionate among friends, but also pejorative for a mischievous or untrustworthy person, or orphan). Context is key. Example (friendly): ""¿Qué hacés, wacho?"" (What's up, dude?) Example (pejorative): ""Ese wacho me robó."" (That punk robbed me.)","Youth Slang, Slang Terms, Ambiguous, Affectionate, Pejorative"
"Y la queso","YOUTH_SLANG (Youth Slang)","(Short for ""Y la que soporte"") And so what? Deal with it. It is what it is. (Literally ""And the cheese,"" but nonsensical). Origin: Recent youth slang, internet trend. Expresses defiance or acceptance. Example: ""Sí, llegué tarde, y la queso."" (Yes, I arrived late, so what?)","Slang Terms, Youth Slang, internet trend, defiance"
"Bondi","URBAN_SLANG (Urban Slang)","Bus (public transportation). Example: ""Tengo que tomar el bondi para ir al centro."" (I have to take the bus to go downtown.)",""
"Laburo","URBAN_SLANG (Urban Slang)","Work, job. (From Italian ""lavoro""). Example: ""Mañana tengo que ir al laburo temprano."" (Tomorrow I have to go to work early.)",""
"Birra","URBAN_SLANG (Urban Slang)","Beer. (From Italian ""birra""). Example: ""¿Tomamos unas birras después del laburo?"" (Shall we have some beers after work?)",""
"Culiao/Culiada","REGIONAL_SLANG (Regional Slang)","(Primarily from Córdoba) A very versatile term, can be an insult (asshole), a term of endearment among friends, or just an emphatic interjection. Context is key. Example (emphatic): ""Hace un frío, culiao."" (It's damn cold.)",""
"Rosarigasino / Gasó","REGIONAL_SLANG (Regional Slang)","(Rosario) A language game from Rosario where ""-gas-"" is inserted after the stressed vowel, which is then repeated. Example: ""Amigo"" -> ""Amigasigo"". Not widely used currently but a known regionalism.","Regional Slang, Rosario, Language Game"
"Salado/a","REGIONAL_SLANG (Regional Slang)","(Argentina/Uruguay) In Argentina, can mean ""expensive"" or ""difficult."" In Uruguay, it can mean ""great/amazing"" or ""terrible/difficult,"" depending on context. Example (Argentina - expensive): ""¡Qué salado este restaurante!"" (This restaurant is so expensive!) Example (Argentina - difficult): ""El examen estuvo salado."" (The exam was tough.)","Regional Slang, Rioplatense, Ambiguous, Argentina, Uruguay"
"Cringe","INTERNET_SLANG (Internet Slang)","(Borrowed from English) Something that causes embarrassment or awkwardness. Example: ""Ese video me dio mucho cringe."" (That video made me cringe a lot.)",""
"Stalkear","INTERNET_SLANG (Internet Slang)","(Borrowed from English ""to stalk"") To check someone's social media profiles excessively. Example: ""Dejá de stalkear a tu ex."" (Stop stalking your ex.)",""
"Hater","INTERNET_SLANG (Internet Slang)","(Borrowed from English) Someone who expresses negativity or criticism online. Example: ""No le hagas caso a los haters."" (Don't pay attention to the haters.)",""
"Achicar (espacios)","JARGON (Jargon)","(Football) To reduce space between defensive lines. (Metaphorical) To reduce options, put pressure on someone.","Football (Soccer) Lingo, football, metaphorical"
"Aguantar la pelota","JARGON (Jargon)","(Football) For a player to shield the ball under pressure. (Metaphorical) To hold one's ground, endure pressure.","Football (Soccer) Lingo, football, metaphorical"
"Alargue","JARGON (Jargon)","(Football) Extra time. (Metaphorical) An extension for anything.","Football (Soccer) Lingo, football, metaphorical"
"Amague / Amagar","JARGON (Jargon)","(Football) A feint or dummy move / To feint. (Metaphorical) A deceptive move or statement; to pretend.","Football (Soccer) Lingo, football, metaphorical"
"Arco","JARGON (Jargon)","(Football) Goal (structure and act of scoring). (Metaphorical) Objective, target.","Football (Soccer) Lingo, football, metaphorical"
"Barra brava","JARGON (Jargon)","Organized group of hardcore, often violent, fans.","Football (Soccer) Lingo, football"
"Caño","JARGON (Jargon)","(Football) Nutmeg (ball through opponent's legs). (Metaphorical) A clever trick that embarrasses someone.","Football (Soccer) Lingo, football, metaphorical"
"Chamuyo","JARGON (Jargon)","Smooth talk, sweet talk, often deceptive or used to persuade or flirt. Can also refer to idle chatter. Example: ""No le creas, es puro chamuyo."" (Don't believe him, it's all smooth talk.)",""
"Clásico","JARGON (Jargon)","(Football) Derby match between rivals. (Metaphorical) Any classic rivalry.","Football (Soccer) Lingo, football, metaphorical"
"Colgarse del travesaño","JARGON (Jargon)","(Football) To play extremely defensively. (Metaphorical) To be overly cautious, not take risks.","Football (Soccer) Lingo, football, metaphorical"
"Cortita y al pie","JARGON (Jargon)","(Football) A short, simple, precise pass. (Metaphorical) Direct, concise, to the point.","Football (Soccer) Lingo, football, metaphorical"
"Dame Bola","JARGON (Jargon)","(Football) Pass me the ball. (Metaphorical) Pay attention to me!","Football (Soccer) Lingo, football, metaphorical"
"Gambeta / Gambetear","JARGON (Jargon)","(Football) Dribble / To dribble. (Metaphorical) To skillfully evade a difficult situation or question.","Football (Soccer) Lingo, football, metaphorical"
"Gol en contra","JARGON (Jargon)","(Football) Own goal. (Metaphorical) An action that inadvertently harms oneself.","Football (Soccer) Lingo, football, metaphorical"
"Habilitar","JARGON (Jargon)","(Football) To make a pass that leaves a teammate in a good scoring position. (Metaphorical) To enable or authorize.","Football (Soccer) Lingo, football, metaphorical"
"Morfón/a","JARGON (Jargon)","(Football) A selfish player who doesn't pass. (Metaphorical) A selfish person in any context.","Football (Soccer) Lingo, football, metaphorical, pejorative"
"Palomita","JARGON (Jargon)","(Football) Diving header.","Football (Soccer) Lingo, football"
"Paquete","JARGON (Jargon)","(Football, Pejorative) A very bad, clumsy player. (Metaphorical) Incompetent person.","Football (Soccer) Lingo, football, pejorative, metaphorical"
"Patadura","JARGON (Jargon)","(Football, Pejorative) A clumsy or unskilled football player (literally ""hard foot"").","Football (Soccer) Lingo, football, pejorative"
"Pecho frío","JARGON (Jargon)","(Football, Pejorative) A player lacking passion or courage. (Metaphorical) An emotionless person in challenges. (Also listed under Pejorative Language)","Football (Soccer) Lingo, football, pejorative, metaphorical"
"Picado","JARGON (Jargon)","An informal, friendly football match. (Metaphorical) Any informal competitive activity.","Football (Soccer) Lingo, football, metaphorical"
"Ponerse la 10","JARGON (Jargon)","(Football) To wear the #10 jersey (best player). (Metaphorical) To take responsibility, perform exceptionally, lead by example.","Football (Soccer) Lingo, football, metaphorical"
"Puntero","JARGON (Jargon)","(Football) Winger; leading team in a league.","Football (Soccer) Lingo, football"
"Semillero","JARGON (Jargon)","(Football) Youth academy. (Metaphorical) Any source or breeding ground for talent.","Football (Soccer) Lingo, football, metaphorical"
"Taquito","JARGON (Jargon)","(Football) Backheel pass or shot. (Metaphorical) A clever, subtle move.","Football (Soccer) Lingo, football, metaphorical"
"Yuta","JARGON (Jargon)","(Often derogatory) Police. Example: ""Ahí viene la yuta."" (Here come the cops.)",""
"A la bartola","IDIOM (Idiom / Phrase)","Carelessly, negligently, without effort or concern. Example: ""Hizo el trabajo a la bartola y quedó mal."" (He did the job carelessly and it turned out badly.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"Al cuete / Al divino botón","IDIOM (Idiom / Phrase)","In vain, uselessly, for no reason, for nothing. (""Al cuete"" is more common). Example: ""Estudié toda la noche, pero fue al cuete, el examen era fácil."" (I studied all night, but it was for nothing, the exam was easy.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"Andar como turco en la neblina","IDIOM (Idiom / Phrase)","To be completely lost or disoriented. (Literally ""to go like a Turk in the mist""). Example: ""Sin el mapa, andábamos como turco en la neblina."" (Without the map, we were completely lost.)","Idiom, Figurative Expression, Lost, Disoriented"
"Buscarle la quinta pata al gato","IDIOM (Idiom / Phrase)","To look for trouble where there is none; to overcomplicate things unnecessarily. (Literally ""to look for the cat's fifth leg""). Example: ""No le busques la quinta pata al gato, la solución es simple."" (Don't overcomplicate it, the solution is simple.)","Idiom, Figurative Expression, Overcomplication"
"Dejar/Quedar colgado/a","IDIOM (Idiom / Phrase)","To be left hanging, stood up; to be flaky or forgetful. Example: ""Me dejó colgado, nunca llegó a la cita."" (He stood me up, he never arrived for the date.) / ""Me colgué y me olvidé de llamarte."" (I got sidetracked/flaked and forgot to call you.)","Idiom, Social, Forgetful"
"De una","IDIOM (Idiom / Phrase)","For sure, definitely, absolutely. Example: ""¿Vamos al cine?"" ""¡De una!"" (""Shall we go to the movies?"" ""Definitely!"")","Idioms & Colloquial Phrases, Common Informal Phrases"
"Del año del ñaupa","IDIOM (Idiom / Phrase)","Very old, ancient, from a bygone era. Origin: ""Ñaupa"" from Quechua meaning ""old"" or ""ancient."" Example: ""Esa costumbre es del año del ñaupa."" (That custom is from ages ago.)","Idioms & Colloquial Phrases, Figurative Expressions, quechua origin"
"En la loma del orto","IDIOM (Idiom / Phrase)","(Vulgar) Very far away, in the middle of nowhere. (Literally ""on the hill of the ass""). Example: ""El pueblo queda en la loma del orto."" (The town is in the middle of nowhere.)","Idiom, Vulgar, Distance, Location"
"Estar al horno (con papas)","IDIOM (Idiom / Phrase)","To be in trouble, to be in a very difficult situation (""to be in the oven (with potatoes)""). Example: ""Si no entrego el informe mañana, estoy al horno."" (If I don't deliver the report tomorrow, I'm toast.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Estar al pedo","IDIOM (Idiom / Phrase)","(Vulgar) To have nothing to do, to be idle, to be useless. Example: ""Hoy no tengo nada que hacer, estoy al pedo."" (I have nothing to do today, I'm just idling.)","Idioms & Colloquial Phrases, Common Informal Phrases, vulgar"
"Estar hasta las manos","IDIOM (Idiom / Phrase)","To be very busy; to be deeply in love or involved with someone/something. (Literally ""to be up to the hands""). Example (busy): ""No puedo salir, estoy hasta las manos con el laburo."" (I can't go out, I'm swamped with work.) Example (in love): ""Está hasta las manos con esa mina."" (He's head over heels for that girl.)","Idiom, Figurative Expression, Busy, In Love"
"Estar en Babia","IDIOM (Idiom / Phrase)","To be daydreaming, distracted, not paying attention, out of it. (Also used in general Spanish). Origin: Babia is a region in Spain, historically associated with distraction. Example: ""El alumno estaba en Babia durante toda la clase."" (The student was daydreaming throughout the whole class.)","Idioms & Colloquial Phrases, Figurative Expressions, general spanish usage"
"Estar en pedo","IDIOM (Idiom / Phrase)","(Vulgar) To be drunk. Example: ""No le hagas caso, está en pedo."" (Don't listen to him, he's drunk.)","Idiom, Vulgar, State (drunk)"
"Estar en una / Estar en la suya","IDIOM (Idiom / Phrase)","To be distracted, in one's own world, or not paying attention. ""Estar en una"" can also mean to be going through something or to be focused on a particular (often unspecified) thing. Example: ""No me escuchó, estaba en la suya."" (He didn't hear me, he was in his own world.)",""
"Estar hecho percha","IDIOM (Idiom / Phrase)","To be exhausted, worn out, shattered. (Literally ""to be made into a clothes hanger""). Example: ""Después del partido, estaba hecho percha."" (After the game, I was exhausted.)","Slang Terms, idiom"
"Estar pipí cucú","IDIOM (Idiom / Phrase)","To be excellent, perfect, impeccable, top-notch. Context: Often has a slightly charming or quaint feel. Example: ""El hotel estaba pipí cucú, todo impecable."" (The hotel was top-notch, everything impeccable.)","Idioms & Colloquial Phrases, Figurative Expressions, quaint"
"Hacer algo de cayetano","IDIOM (Idiom / Phrase)","To do something silently, secretly, or without telling anyone. Example: ""Se comió el chocolate de cayetano."" (He ate the chocolate secretly.)","Idiom, Secretly, Stealthily"
"Hacer la gamba","IDIOM (Idiom / Phrase)","To do a favor, to help someone out. (""Gamba"" can mean leg, but also 100 pesos in older slang). Example: ""¿Me hacés la gamba y me llevás al centro?"" (Can you do me a favor and take me downtown?)","Idiom, Favor, Help"
"Hacerse la rata","IDIOM (Idiom / Phrase)","To play truant, to skip school or work. (Literally ""to make oneself the rat""). Example: ""Hoy no voy a la escuela, me voy a hacer la rata."" (I'm not going to school today, I'm going to play truant.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"Ir a llorarle/cobrarle a Magoya","IDIOM (Idiom / Phrase)","To go complain to someone who won't listen or help; to try to get something from someone who doesn't exist or won't pay. (Magoya is a mythical figure who never helps). Example: ""Si no te pagan, andá a cobrarle a Magoya."" (If they don't pay you, go try getting it from Magoya / you're out of luck.)","Idiom, Figurative Expression, Futility, Complaint"
"Ir a los bifes","IDIOM (Idiom / Phrase)","To get to the point, to get down to business. (Literally ""to go to the steaks""). Example: ""Bueno, vamos a los bifes, ¿cuál es el problema?"" (Okay, let's get to the point, what's the problem?)","Idioms & Colloquial Phrases, Figurative Expressions"
"Irse/Mandar a freír churros","IDIOM (Idiom / Phrase)","To tell someone to get lost, to go to hell; to dismiss someone contemptuously. Example: ""Me cansó con sus quejas, lo mandé a freír churros."" (I got tired of his complaints, I told him to get lost.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"La posta","IDIOM (Idiom / Phrase)","The truth, the real deal. Example: ""Te digo la posta, es así."" (I'm telling you the truth, that's how it is.)","Idioms & Colloquial Phrases, Common Informal Phrases, (also SLANG)"
"Levantarse a alguien","IDIOM (Idiom / Phrase)","To pick someone up, to successfully flirt with someone. Example: ""¿Viste? Se levantó a la chica más linda de la fiesta."" (Did you see? He picked up the prettiest girl at the party.)","Idiom, Flirting, Social"
"Mandar fruta","IDIOM (Idiom / Phrase)","To talk nonsense, to BS, to make things up. (Literally ""to send fruit""). Example: ""No le creas, está mandando fruta."" (Don't believe him, he's talking nonsense.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Más vieja que la escarapela","IDIOM (Idiom / Phrase)","Very old. (The ""escarapela"" is a national cockade, a historical symbol). Example: ""Esa radio es más vieja que la escarapela."" (That radio is older than the hills.)","Idiom, Figurative Expression, Age, Cultural Reference"
"Me cortaron las piernas","IDIOM (Idiom / Phrase)","""They cut my legs off!"" - An expression of being severely hampered, debilitated, or having one's hopes dashed. Famously used by Maradona. Example: ""Cuando me sacaron del proyecto, sentí que me cortaron las piernas."" (When they took me off the project, I felt like they cut my legs off.)","Idiom, Figurative Expression, Setback, Sports Reference"
"Me caigo y me levanto","IDIOM (Idiom / Phrase)","Expression of annoyance, resignation when something frustrating happens. (Literally ""I fall and I get up""). Example: ""Otra vez subió el dólar... me caigo y me levanto."" (The dollar went up again... here we go again.)","Idioms & Colloquial Phrases, Common Informal Phrases, expression"
"Me escupieron el asado","IDIOM (Idiom / Phrase)","They ruined my plans, they screwed me over. (Literally ""they spat on my barbecue""). Example: ""Tenía todo listo para las vacaciones y me cancelaron el vuelo, ¡me escupieron el asado!"" (I had everything ready for vacation and they cancelled my flight, they totally ruined it for me!)","Idioms & Colloquial Phrases, Common Informal Phrases"
"¿Me estás cargando? / ¿Me cargás?","IDIOM (Idiom / Phrase)","Are you kidding me? Are you pulling my leg? (Literally ""Are you loading me?""). Example: ""—Dice que vio un OVNI. —¿Me estás cargando?"" (—He says he saw a UFO. —Are you kidding me?)","Idioms & Colloquial Phrases, Common Informal Phrases, question"
"Me mataste","IDIOM (Idiom / Phrase)","You killed me (Figuratively: I have no idea, I don't know the answer). Example: ""—¿Sabés cuánto cuesta esto? —Uf, me mataste."" (—Do you know how much this costs? —Ugh, you got me/I have no idea.)","Idiom, Expression, No Idea"
"Me pinta / ¿Te pinta?","IDIOM (Idiom / Phrase)","I'm in the mood for it, I feel like it / Are you in the mood for it?, Do you feel like it? Example: ""¿Vamos al cine? — Dale, me pinta."" (Shall we go to the movies? — Sure, I'm in the mood.)","Idiom, Expression, Desire, Agreement"
"Me tomo el palo / Tomate el palo","IDIOM (Idiom / Phrase)","I'm leaving, I'm outta here / Get out of here, beat it! Example: ""Esto es un aburrimiento, me tomo el palo."" (This is boring, I'm leaving.)","Idioms & Colloquial Phrases, Common Informal Phrases, (also SLANG)"
"Moverte que te va a mear un perro","IDIOM (Idiom / Phrase)","Get a move on! Stop standing around! (Literally ""Move it, or a dog will pee on you""). Example: ""Dale, apurate, ¡movete que te va a mear un perro!"" (Come on, hurry up, get a move on!)","Idioms & Colloquial Phrases, Common Informal Phrases"
"Ni en pedo","IDIOM (Idiom / Phrase)","(Vulgar) No way, absolutely not, not even if I were drunk. Example: ""¿Prestarle plata a él? Ni en pedo."" (Lend him money? No way.)","Idiom, Expression, Refusal, Vulgar"
"Ni idea","IDIOM (Idiom / Phrase)","No idea. Example: ""¿Dónde está Juan?"" ""Ni idea."" (""Where is Juan?"" ""No idea."")","Idioms & Colloquial Phrases, Common Informal Phrases"
"No da","IDIOM (Idiom / Phrase)","It's not appropriate, it's not right, it doesn't work, it's not cool. (Literally ""it doesn't give""). Example: ""Ir así vestido a la entrevista, no da."" (Going dressed like that to the interview is not appropriate.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"No dar bola","IDIOM (Idiom / Phrase)","To ignore someone, not pay attention to someone. (Literally ""not to give ball""). Example: ""Le hablé pero no me dio bola."" (I spoke to him but he ignored me.)","Idioms & Colloquial Phrases, Figurative Expressions"
"No hay tu tía","IDIOM (Idiom / Phrase)","There's no way, it's impossible, no solution. (Corruption of ""no hay atutía"" - atutía was an old remedy). Example: ""Intenté arreglarlo, pero no hay tu tía."" (I tried to fix it, but there's no way.)","Idiom, Figurative Expression, Impossibility, No Solution"
"No levantar la perdiz","IDIOM (Idiom / Phrase)","Don't arouse suspicion, don't spill the beans, keep it quiet. (Literally ""don't flush out the partridge""). Example: ""Estamos preparando una sorpresa, así que no levantes la perdiz."" (We're preparing a surprise, so don't spill the beans.)","Idioms & Colloquial Phrases, Figurative Expressions"
"No tener dos dedos de frente","IDIOM (Idiom / Phrase)","To not be very smart, to be clueless. (Literally ""to not have two fingers of forehead""). Example: ""Ese tipo no tiene dos dedos de frente."" (That guy is clueless.)",""
"Pegar un tubazo","IDIOM (Idiom / Phrase)","To make a phone call. (Literally ""to hit with a tube,"" referring to old phone receivers). Example: ""Pegame un tubazo cuando llegues."" (Call me when you arrive.)","Idiom, Communication, Phone Call, Dated"
"Ponerse la gorra","IDIOM (Idiom / Phrase)","To become strict, to act like an authority figure, to be a killjoy. (Literally ""to put on the cap,"" like a police cap). Example: ""Estábamos divirtiéndonos hasta que el vecino se puso la gorra."" (We were having fun until the neighbor got all strict.)","Idiom, Behavior, Authority, Killjoy"
"Ponerse las pilas","IDIOM (Idiom / Phrase)","To get your act together, to get energized, to start working seriously. (Literally ""to put in your batteries""). Example: ""Dale, ponete las pilas que tenemos que terminar esto."" (Come on, get moving, we have to finish this.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Remar en dulce de leche","IDIOM (Idiom / Phrase)","To do something very difficult or that takes a lot of effort (Literally ""to row in dulce de leche""). Example: ""Conseguir ese permiso fue remar en dulce de leche."" (Getting that permit was like rowing in dulce de leche.)","Idiom, Figurative Expression, Difficulty"
"Ser Gardel","IDIOM (Idiom / Phrase)","To be the best, to be on top of the world, to be self-sufficient and privileged (like Carlos Gardel). Example: ""Con ese auto nuevo, se siente Gardel."" (With that new car, he feels like he's on top of the world.)","Idiom, Figurative Expression, Excellence, Cultural Reference"
"Ser mala leche","IDIOM (Idiom / Phrase)","To be mean, to have bad intentions. (Literally ""to be bad milk""). Example: ""Ese comentario fue muy mala leche."" (That comment was very mean-spirited.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Tener mala leche","IDIOM (Idiom / Phrase)","To have bad luck. (Literally ""to have bad milk""). Example: ""Perdí la billetera, ¡qué mala leche!"" (I lost my wallet, what bad luck!)","Idioms & Colloquial Phrases, Figurative Expressions"
"Tenerla clara","IDIOM (Idiom / Phrase)","To know something very well, to be an expert, to have a clear understanding or plan. (Literally ""to have it clear""). Example: ""Él la tiene clara en computación, preguntale."" (He knows a lot about computers, ask him.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Tirar la chancleta","IDIOM (Idiom / Phrase)","To let loose, to behave without inhibitions, especially after a period of restraint. (Literally ""to throw the slipper""). Example: ""En la fiesta, tiró la chancleta y bailó toda la noche."" (At the party, she let loose and danced all night.)",""
"Tirar los galgos","IDIOM (Idiom / Phrase)","To flirt with someone, to hit on someone. (Literally ""to release the greyhounds""). Example: ""Le estuvo tirando los galgos toda la noche."" (He was hitting on her all night.)","Idiom, Flirting, Social"
"Tomarse el palo","IDIOM (Idiom / Phrase)","To leave, to take off, often suddenly. (Literally ""to take the stick/pole""). Example: ""Me cansé, me tomo el palo."" (I'm tired, I'm outta here.)","Slang Terms, idiom"
"Tomárselo con soda","IDIOM (Idiom / Phrase)","To take it easy, to calm down. (Literally ""to take it with soda water,"" implying dilution). Example: ""Tranquilo, tomátelo con soda."" (Relax, take it easy.)","Idioms & Colloquial Phrases, Figurative Expressions"
"Ya fue","IDIOM (Idiom / Phrase)","Forget it, it's over, it doesn't matter anymore. Example: ""Quería ir, pero ya fue, es muy tarde."" (I wanted to go, but forget it, it's too late.)","Idioms & Colloquial Phrases, Common Informal Phrases"
"Yo, argentino","IDIOM (Idiom / Phrase)","(Self-referential, often ironic) ""I, Argentinian"" - used when someone acts according to a perceived Argentinian stereotype. Example: ""Cuando vio el problema, dijo 'no te metás' y siguió de largo. Típico: 'Yo, argentino'."" (When he saw the problem, he said ""don't get involved"" and walked on by. Typical: ""I, Argentinian."")","Idioms & Colloquial Phrases, Common Informal Phrases, self-referential, ironic, stereotype"
"A caballo regalado no se le miran los dientes","PROVERB (Proverb / Saying)","Don't look a gift horse in the mouth. (Meaning: Don't be critical of a gift.)",""
"Cada uno habla de la feria según le va en ella","PROVERB (Proverb / Saying)","People judge things based on their own experiences. (Literally ""Everyone speaks of the fair according to how it went for them."")","Proverb, Perspective, Experience"
"Calavera no chilla","PROVERB (Proverb / Saying)","(Literally ""skull doesn't scream/complain"") Similar to ""you've made your bed, now lie in it."" Used when someone faces consequences of their own risky behavior.","Proverbs & Sayings, Local Sayings"
"Donde comen dos, comen tres","PROVERB (Proverb / Saying)","There's always room for one more (especially for a meal). (Literally ""Where two eat, three eat."")","Proverb, Hospitality, Sharing"
"Más loco que una cabra con pollitos","PROVERB (Proverb / Saying)","Crazier than a goat with chicks. (Very crazy/eccentric).","Proverbs & Sayings, Local Sayings, simile"
"Más vale pájaro en mano que cien volando","PROVERB (Proverb / Saying)","A bird in the hand is worth two in the bush. (Meaning: It's better to hold onto something you have rather than risk losing it by trying to get something better.)",""
"No por mucho madrugar amanece más temprano","PROVERB (Proverb / Saying)","Some things take their natural course and can't be rushed. (Literally ""Waking up very early doesn't make the sun rise sooner."")","Proverb, Patience, Natural Course"
"Argento","INSULT (Insult / Banter)","(Pejorative when implying negative stereotypes) Argentinian (e.g., know-it-all, lazy, ""no te metás"" - don't get involved). Severity: Mild to Moderate.","Pejorative Language & Playful Insults, pejorative, stereotype, mild to moderate"
"Atorrante","INSULT (Insult / Banter)","(Pejorative) Vagrant, lazy person; shameless, brazen person; scoundrel. Severity: Moderate to Strong. (Also listed under Lunfardo/SLANG)","Pejorative Language & Playful Insults, pejorative, moderate to strong, (also lunfardo)"
"Babieca","INSULT (Insult / Banter)","(Pejorative, from Santa Fe province) Unintelligent person, simpleton. Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, regional (Santa Fe), moderate"
"Bagayo","INSULT (Insult / Banter)","(Pejorative for people) Ugly person. Severity: Moderate to Strong. (Also listed under General Slang for things)","Pejorative Language & Playful Insults, pejorative, moderate to strong"
"Boludo/Boluda","INSULT (Insult / Banter)","(Pejorative) Idiot, fool, jerk. (See also General Slang for familiar use). Severity: Variable: Mild (among close friends as banter) to Strong (as an insult).","Pejorative Language & Playful Insults, pejorative, variable severity, (also slang)"
"Careta","INSULT (Insult / Banter)","(Pejorative) Hypocrite, fake person, phony. Severity: Moderate to Strong. (Also listed under General Slang)","Pejorative Language & Playful Insults, pejorative, moderate to strong, (also slang)"
"Chabón/a","INSULT (Insult / Banter)","(Can be pejorative if used dismissively or contemptuously). Severity: Mild (as an insult). (Also listed under General Slang)","Pejorative Language & Playful Insults, potentially pejorative, mild, (also slang)"
"Chancho/a","INSULT (Insult / Banter)","(Pejorative in specific context) Public transport inspector. (Literally ""pig""). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, specific context, moderate"
"Cheto/a","INSULT (Insult / Banter)","(Pejorative) Snob, posh person; someone ostentatiously displaying wealth or status. Severity: Moderate to Strong.","Pejorative Language & Playful Insults, pejorative, moderate to strong"
"Chorro/a","INSULT (Insult / Banter)","(Pejorative) Thief, robber. (Literally ""spurt, jet""). Severity: Strong.","Pejorative Language & Playful Insults, pejorative, strong"
"Cobani","INSULT (Insult / Banter)","(Pejorative) Police officer. (Vesre of ""botón"" or from Italian ""sbirro""). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, vesre, italian origin, moderate"
"Forro/Forra","INSULT (Insult / Banter)","(Vulgar, Pejorative) Asshole, bastard, a bad or selfish person who uses others. (Literally ""lining; condom""). Severity: Strong, vulgar.","Pejorative Language & Playful Insults, vulgar, pejorative, strong"
"Gil/a","INSULT (Insult / Banter)","(Pejorative) Fool, idiot, naive person, sucker. Severity: Moderate to Strong.","Pejorative Language & Playful Insults, pejorative, moderate to strong"
"Guacho/a","INSULT (Insult / Banter)","(Pejorative as insult) Bastard, son of a bitch. (Literally ""orphan; illegitimate child""). Severity: Strong.","Pejorative Language & Playful Insults, pejorative, strong"
"Guarango/a","INSULT (Insult / Banter)","(Pejorative) Rude, vulgar, ill-mannered person; coarse or obscene language/behavior. Severity: Moderate to Strong.","Pejorative Language & Playful Insults, pejorative, vulgar, moderate to strong"
"Logi","INSULT (Insult / Banter)","(Pejorative) Fool, idiot (same as ""gil""). (Vesre of ""gil""). Severity: Moderate to Strong. Youth slang.","Pejorative Language & Playful Insults, pejorative, vesre, moderate to strong, youth slang"
"Nabo/a","INSULT (Insult / Banter)","(Pejorative) Idiot, fool, clueless person. (Literally ""turnip""). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, moderate"
"Naso","INSULT (Insult / Banter)","(Pejorative when mocking) Big nose. (From Italian ""naso"" - nose). Severity: Mild to Moderate.","Pejorative Language & Playful Insults, pejorative, italian origin, mild to moderate"
"No le llega agua al tanque","INSULT (Insult / Banter)","(Pejorative idiom) He/she isn't smart, is slow-witted. (Literally ""Water doesn't reach his/her water tank""). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, idiom, moderate"
"Pecho frío","INSULT (Insult / Banter)","(Pejorative, esp. in sports) Emotionless or passionless person, lacking fighting spirit. (Literally ""cold chest""). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, sports, moderate"
"Pelotudo/Pelotuda","INSULT (Insult / Banter)","(Vulgar, Pejorative) Idiot, moron, asshole (stronger and more offensive than ""boludo""). Severity: Strong to Very Strong, vulgar.","Pejorative Language & Playful Insults, vulgar, pejorative, strong to very strong"
"Pendejo/a","INSULT (Insult / Banter)","(Pejorative for older individuals acting immaturely) Immature adolescent/young adult. (Neutral for children: kid). Severity: Moderate to Strong (for immature adults).","Pejorative Language & Playful Insults, pejorative, moderate to strong"
"Rati","INSULT (Insult / Banter)","(Pejorative) Police officer. (Shortening/corruption of ""rata"" - rat, or other terms). Severity: Moderate.","Pejorative Language & Playful Insults, pejorative, moderate"
"Trucho/a","INSULT (Insult / Banter)","(Pejorative for people) A deceitful person. Severity: Moderate. (Also listed under General Slang for things)","Pejorative Language & Playful Insults, pejorative, moderate, (also slang)"
